LGA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA47980,234,4746,4980,4744,645,5386,2065,232,2294,2219,88,2307,726,24,750,181,13,194,10164,5753,15917
LGA48050,123,2410,2536,3001,344,3334,707,46,754,507,18,532,225,12,235,100,5,111,4666,2840,7499
LGA48130,48,889,934,879,143,1026,297,27,326,291,9,301,155,10,164,97,0,101,1768,1077,2849
LGA48260,32,986,1017,1029,156,1191,386,38,427,441,21,467,173,4,180,43,4,47,2107,1217,3323
LGA48340,59,1576,1638,1728,214,1940,528,49,572,479,38,521,250,13,269,93,5,99,3139,1895,5035
LGA48410,340,7926,8260,7042,1343,8386,3568,546,4115,3326,231,3556,1056,72,1128,361,36,394,15689,10153,25839
LGA48540,163,3544,3703,2775,477,3250,1110,116,1222,928,61,986,379,27,408,154,19,170,5509,4234,9746
LGA48640,6,141,153,135,43,177,42,4,44,47,6,54,39,8,44,3,0,4,278,203,483
LGA48750,53,813,867,1002,183,1187,243,15,255,195,11,209,95,0,100,57,0,54,1643,1031,2670
LGA48830,99,1900,2000,2029,439,2461,397,57,446,342,35,381,160,17,182,101,7,113,3128,2453,5586
LGA49399,17,711,728,253,409,657,91,30,118,88,27,110,52,9,64,35,5,37,537,1178,1716
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50080,313,4570,4882,4993,718,5707,1910,189,2101,1697,74,1772,737,38,777,408,19,425,10060,5605,15664
LGA50210,684,7283,7965,8978,1180,10152,5632,355,5991,5686,222,5900,2367,123,2484,1398,60,1458,24740,9218,33956
LGA50250,61,775,836,423,706,1129,209,79,285,255,74,325,152,30,183,70,26,94,1166,1699,2862
LGA50280,199,1584,1783,1897,513,2411,904,122,1030,828,106,940,303,33,337,100,14,120,4234,2381,6612
LGA50350,143,1963,2100,1882,289,2171,962,90,1050,845,47,887,272,13,288,112,14,129,4214,2416,6632
LGA50420,635,8634,9269,8325,1438,9758,4158,374,4534,3565,177,3747,1122,67,1188,538,33,566,18345,10720,29068
LGA50490,419,5896,6316,4704,1100,5806,2312,372,2675,1806,183,1988,706,66,773,415,27,435,10358,7644,17996
LGA50560,24,227,253,271,64,329,79,10,90,46,6,52,23,4,24,12,3,12,456,311,767
LGA50630,23,174,197,217,34,245,82,14,96,81,7,91,32,5,35,13,0,13,441,230,670
LGA50770,18,208,228,262,49,313,69,8,77,74,11,87,40,8,43,14,4,20,481,285,763
LGA50840,60,628,686,794,127,917,218,20,241,206,15,220,103,4,113,44,4,43,1430,794,2217
LGA50910,4,111,120,126,15,143,32,7,43,39,7,48,8,0,15,10,0,10,229,139,370
LGA50980,164,1676,1837,1171,2365,3534,779,320,1099,779,281,1060,439,129,567,332,68,395,3659,4833,8495
LGA51080,9,107,116,138,22,162,50,11,54,39,5,41,26,0,24,15,3,17,271,146,421
LGA51120,10,113,123,117,37,154,40,9,40,34,3,34,20,7,19,4,0,4,229,166,393
LGA51190,330,4847,5170,4235,735,4977,1645,191,1831,1351,76,1427,514,35,551,252,23,276,8327,5905,14228
LGA51260,441,3957,4405,5230,915,6143,2076,179,2257,1991,139,2134,800,62,863,324,25,350,10859,5279,16136
LGA51310,210,2456,2664,3015,310,3333,1427,99,1525,2029,49,2076,820,21,844,189,3,188,7691,2944,10634
LGA51330,572,7488,8065,8718,1346,10059,5584,648,6231,5920,412,6331,2366,197,2564,1233,92,1323,24392,10187,34578
LGA51400,188,1145,1332,2009,252,2252,1056,54,1113,1047,33,1082,501,17,513,197,7,204,4995,1502,6496
LGA51470,9,134,141,81,19,99,20,8,24,17,3,18,4,0,4,8,0,8,132,165,300
LGA51540,50,824,873,517,1080,1598,210,97,313,196,107,304,75,54,126,64,30,95,1117,2189,3306
LGA51610,15,93,116,206,48,252,73,17,90,75,13,91,36,9,39,11,4,15,422,176,594
LGA51680,62,344,414,705,82,788,322,28,349,262,22,284,143,3,152,99,5,103,1605,489,2092
LGA51710,14,154,169,109,24,130,63,13,78,65,5,71,32,0,33,11,0,11,292,201,499
LGA51750,89,1455,1546,1347,223,1571,540,61,599,562,27,591,231,12,242,54,4,54,2821,1777,4603
LGA51820,1039,10501,11545,12698,1732,14431,7442,477,7922,7303,241,7545,2540,107,2643,1048,41,1089,32070,13103,45173
LGA51860,0,22,23,33,11,45,20,6,27,16,8,20,18,0,18,24,0,29,114,52,168
LGA51890,77,1150,1230,1089,154,1243,425,41,466,401,32,432,178,19,194,75,5,81,2253,1402,3653
LGA51960,32,490,522,344,136,487,147,38,185,116,46,164,50,13,61,35,5,38,739,719,1456
LGA52030,15,163,180,172,66,238,35,8,40,39,6,43,9,0,7,5,0,9,280,243,519
LGA52100,13,136,144,148,15,163,46,8,51,37,5,39,24,0,21,3,0,3,262,163,427
LGA52170,79,803,882,928,165,1098,404,52,452,422,19,441,202,4,212,58,0,58,2085,1051,3138
LGA52240,12,154,161,142,27,170,49,8,56,45,0,44,21,0,18,9,5,14,274,195,468
LGA52310,16,115,130,148,22,166,43,3,38,33,0,33,8,3,11,7,0,12,246,145,397
LGA52380,0,97,96,18,35,50,4,5,7,0,0,0,0,5,5,0,3,3,20,146,161
LGA52450,13,154,168,130,27,159,54,6,54,57,10,69,28,0,28,17,0,16,301,193,492
LGA52520,11,134,142,131,35,166,61,13,77,59,10,74,35,6,40,13,9,19,309,207,519
LGA52590,52,422,468,503,163,669,125,19,147,117,16,139,49,3,58,24,0,24,866,631,1496
LGA52660,150,1256,1402,1785,230,2008,845,38,880,763,33,795,335,7,344,139,0,142,4014,1565,5578
LGA52730,100,818,915,829,218,1050,282,58,340,225,34,263,114,14,128,45,9,54,1594,1148,2745
LGA52800,42,865,907,415,688,1104,220,93,310,197,72,269,151,53,203,223,30,255,1241,1797,3043
LGA52870,72,603,674,916,121,1033,252,31,279,265,15,282,123,4,129,63,11,71,1691,778,2470
LGA52940,7,126,128,94,16,111,29,0,31,20,4,19,18,0,21,7,0,7,176,143,322
LGA53010,6,79,87,89,22,110,22,15,34,33,5,35,13,0,12,3,0,8,162,124,279
LGA53080,8,183,188,73,53,122,23,7,32,14,6,19,6,3,11,5,0,5,127,246,372
LGA53150,53,791,846,875,122,999,423,31,455,487,12,501,164,7,173,49,0,49,2058,968,3022
LGA53220,40,777,815,363,386,746,233,53,288,239,46,287,140,15,155,147,20,165,1166,1292,2456
LGA53290,163,1683,1841,1594,422,2018,644,93,730,593,72,668,267,47,309,133,13,142,3389,2329,5720
LGA53360,54,426,481,293,943,1236,142,95,233,147,126,276,70,34,107,30,38,78,744,1666,2404
LGA53430,333,4712,5051,3964,850,4813,1707,246,1955,1436,110,1550,447,33,481,137,20,157,8042,5966,14005
LGA53570,75,604,681,758,175,936,246,35,272,187,28,212,80,6,87,70,5,78,1412,856,2268
LGA53640,7,135,149,155,22,175,51,9,54,63,5,69,21,3,24,16,3,20,312,174,488
LGA53710,11,139,147,142,34,175,34,5,44,33,0,38,25,0,25,5,0,5,253,178,429
LGA53780,743,9615,10355,11158,1588,12747,7223,564,7789,7361,345,7704,3324,173,3496,2181,94,2278,31996,12376,44372
LGA53800,460,4420,4880,4465,982,5450,2058,267,2325,1724,161,1886,772,97,867,447,57,500,9920,5990,15910
LGA53920,4,406,412,148,295,441,133,34,165,106,28,132,77,14,94,175,15,185,642,789,1430
LGA53990,284,2259,2540,3448,359,3809,1519,81,1602,1571,63,1631,670,33,706,328,21,347,7815,2817,10626
LGA54060,60,520,578,517,183,705,168,27,194,143,24,167,61,11,73,19,0,20,973,766,1746
LGA54130,15,163,175,143,40,178,42,4,45,57,5,63,26,4,26,4,0,8,283,217,503
LGA54170,1363,10985,12351,18727,1485,20215,9811,429,10244,10777,216,10990,3732,87,3818,1193,38,1238,45607,13245,58848
LGA54200,485,4808,5298,6828,647,7476,3388,150,3535,3369,98,3467,1460,35,1504,631,32,659,16165,5774,21938
LGA54280,236,3333,3568,2707,799,3506,1507,223,1736,1411,136,1552,673,75,753,360,27,383,6899,4600,11495
LGA54310,205,1909,2117,1504,1039,2539,957,231,1192,1191,202,1390,594,107,697,293,55,345,4741,3549,8287
LGA54340,24,452,478,459,94,552,204,30,234,157,17,172,64,13,77,75,13,90,983,621,1602
LGA54410,11,159,172,156,29,182,49,7,57,35,9,42,14,0,15,8,3,12,281,214,487
LGA54480,0,55,55,55,16,72,18,6,25,25,0,28,10,5,16,0,0,0,111,82,200
LGA54550,11,275,277,243,54,295,83,5,90,74,5,85,43,0,43,18,0,18,467,337,810
LGA54620,10,120,133,112,40,152,33,6,34,21,8,28,21,8,20,6,0,8,202,182,381
LGA54690,4,62,72,48,7,53,15,0,15,11,0,16,10,0,7,4,0,4,94,76,170
LGA54760,9,76,89,101,20,121,28,5,35,34,9,37,16,0,16,6,0,6,197,112,303
LGA54830,392,3796,4187,4112,657,4768,2714,182,2899,2550,110,2657,1133,58,1195,634,31,667,11540,4838,16373
LGA54900,14,176,185,159,33,193,57,9,66,60,0,57,29,4,31,9,0,9,320,219,537
LGA54970,6,131,131,43,30,74,16,5,23,19,3,25,5,0,10,21,0,21,115,172,287
LGA55040,9,211,223,84,94,177,36,6,39,40,15,55,20,5,24,18,7,22,209,334,547
LGA55110,1023,10203,11224,12360,1419,13784,4764,299,5059,4062,169,4233,1661,75,1735,754,47,800,24619,12217,36833
LGA55180,92,1219,1308,1212,229,1446,427,47,471,347,32,380,174,17,193,68,15,77,2322,1555,3877
LGA55250,6,165,169,67,78,144,43,14,60,20,13,29,16,8,20,21,0,23,170,277,444
LGA55320,712,9473,10187,11924,1253,13179,5958,392,6348,6416,199,6617,2355,86,2438,789,33,822,28152,11438,39588
LGA55390,0,70,72,17,26,42,8,4,7,6,0,5,3,0,3,5,0,5,35,101,138
LGA55460,28,442,469,387,85,471,146,36,177,117,20,138,59,6,69,21,3,27,759,590,1351
LGA55530,0,72,74,49,54,103,17,12,25,18,0,15,11,0,14,0,0,5,101,140,239
LGA55600,25,300,325,265,65,331,111,19,131,93,15,108,38,3,43,17,8,28,545,413,963
LGA55670,7,88,97,69,40,114,23,3,26,17,4,19,14,3,11,10,4,14,134,148,278
LGA55740,80,1191,1274,935,176,1113,445,41,490,503,24,526,232,15,245,49,0,54,2247,1452,3702
LGA55810,5,123,131,39,79,118,8,12,18,7,12,23,5,9,17,6,10,12,71,246,316
LGA55880,6,68,77,60,15,74,25,4,26,16,0,16,6,5,11,5,0,5,115,89,205
LGA55950,4,70,70,78,25,102,32,3,39,19,0,24,10,5,16,11,0,11,148,105,256
LGA56090,351,2867,3218,4698,408,5109,2154,102,2256,2008,58,2065,893,29,922,382,18,402,10489,3485,13971
LGA56160,0,26,25,9,24,36,0,0,0,3,3,3,5,0,5,6,0,6,28,47,72
LGA56230,217,1709,1935,2369,301,2671,904,80,982,804,54,863,366,31,395,222,11,231,4878,2194,7075
LGA56300,12,216,235,253,74,323,65,14,75,45,7,56,19,6,26,6,5,15,403,319,722
LGA56370,5,95,103,102,28,125,45,9,49,27,7,30,8,3,17,4,0,6,189,133,325
LGA56460,47,695,734,577,118,695,222,39,257,166,23,195,92,15,105,42,0,42,1143,886,2026
LGA56580,135,1483,1622,2230,229,2463,1125,94,1222,1503,78,1579,688,19,700,182,7,187,5865,1916,7771
LGA56620,0,141,147,49,35,84,48,3,51,34,0,37,42,0,42,78,0,78,253,184,436
LGA56730,121,1298,1418,1334,234,1567,511,56,567,448,56,501,214,31,244,149,16,165,2777,1683,4456
LGA56790,32,496,531,470,461,934,125,51,174,89,44,131,55,14,72,34,12,39,806,1081,1880
LGA56860,6,36,38,35,15,48,9,7,15,8,0,8,5,0,5,0,0,0,61,53,115
LGA56930,8,119,126,164,8,181,87,5,84,80,0,82,46,4,49,21,0,21,404,138,540
LGA57000,0,78,76,53,20,71,14,6,23,16,5,19,9,6,14,0,0,0,93,117,209
LGA57080,299,6251,6553,3858,1334,5192,1072,342,1417,456,103,562,125,18,147,27,7,32,5846,8056,13900
LGA57140,10,158,171,158,20,185,48,0,49,37,0,37,15,0,15,10,0,10,279,184,468
LGA57210,63,590,649,739,131,863,273,25,299,175,22,200,88,15,106,67,9,73,1403,788,2187
LGA57280,173,1958,2131,1186,624,1808,744,178,919,711,125,843,368,57,424,263,31,293,3443,2978,6418
LGA57350,12,135,145,127,56,187,23,11,35,21,7,28,8,6,17,13,4,12,211,216,426
LGA57420,26,325,355,262,60,323,95,11,105,63,9,74,38,5,41,16,0,14,507,404,910
LGA57490,1444,11683,13125,14297,1760,16056,7957,470,8427,7495,296,7796,3191,148,3336,1573,61,1638,35958,14423,50382
LGA57630,0,27,34,14,22,38,0,0,4,0,0,0,0,0,0,0,0,0,16,60,75
LGA57700,260,1590,1852,2945,309,3253,1845,83,1925,1942,45,1988,898,33,931,583,20,601,8477,2084,10555
LGA57770,9,240,251,113,561,676,27,51,79,40,49,88,15,18,32,7,7,14,213,921,1133
LGA57840,339,5872,6208,5477,991,6473,2269,333,2595,2123,103,2228,668,42,711,215,19,241,11092,7363,18454
LGA57910,1812,28597,30413,25971,4549,30518,12930,1326,14259,12203,576,12780,4077,210,4279,1680,91,1771,58676,35341,94013
LGA57980,148,2936,3086,2158,384,2540,868,107,977,869,50,916,266,21,281,61,3,65,4381,3493,7872
LGA58050,1251,11909,13165,14602,1942,16546,9196,591,9778,8969,323,9294,3698,148,3850,2344,92,2434,40062,15003,55068
LGA58190,3,57,61,41,12,52,19,5,23,18,0,21,4,3,5,3,0,3,91,83,165
LGA58260,3,79,83,75,24,93,26,8,27,18,5,26,11,0,10,8,3,10,136,111,253
LGA58330,67,536,603,705,146,846,199,30,231,137,17,154,79,9,87,41,4,42,1229,738,1970
LGA58400,5,63,70,48,13,58,12,3,17,0,0,0,6,0,0,4,0,4,70,78,150
LGA58470,7,37,38,15,54,72,5,3,4,7,4,6,3,0,3,9,0,9,38,99,136
LGA58510,327,5631,5954,4372,1053,5428,1973,395,2367,1619,153,1774,438,53,485,175,28,202,8898,7310,16209
LGA58540,10,101,115,109,33,146,39,5,41,28,9,34,9,0,14,4,0,4,203,151,349
LGA58570,354,5573,5929,4479,1099,5579,1814,404,2217,1740,147,1889,455,31,484,114,16,125,8952,7270,16224
LGA58610,13,261,274,255,49,302,60,8,69,62,3,63,23,8,28,20,3,23,430,329,760
LGA58680,4,49,58,78,24,109,20,10,29,11,0,18,11,0,9,7,0,7,134,88,228
LGA58760,1765,13991,15763,19739,2053,21795,13062,633,13689,13237,414,13654,5450,189,5638,2834,100,2936,56085,17381,73463
LGA58820,46,481,525,568,79,651,177,12,194,166,12,176,84,0,84,56,5,58,1101,585,1692
LGA58890,10,90,102,113,27,141,37,7,39,34,5,32,11,6,16,5,3,6,202,134,336
LGA59030,0,45,42,47,3,46,5,0,6,13,0,12,3,0,3,8,0,8,63,51,115
LGA59100,4,78,80,92,26,123,23,3,21,20,0,25,15,6,24,7,0,7,166,116,279
LGA59170,8,106,118,129,34,163,45,10,48,49,9,51,24,0,27,13,0,13,260,152,412
LGA59250,0,69,69,24,22,51,14,9,18,0,0,0,7,0,8,7,0,9,56,103,156
LGA59310,16,189,205,183,44,227,57,5,58,45,9,54,30,0,33,8,0,8,334,246,577
LGA59320,7,42,51,53,6,69,12,3,16,21,3,22,14,0,16,6,0,6,119,62,174
LGA59330,4,108,107,60,24,86,30,5,33,12,0,12,3,0,3,4,0,4,107,133,240
LGA59340,64,1045,1114,530,920,1450,301,137,432,270,122,391,154,66,220,175,26,199,1488,2320,3806
LGA59350,0,45,48,10,28,37,8,8,14,0,4,0,0,0,0,9,0,9,29,87,116
LGA59360,12,220,235,128,38,169,31,3,32,29,10,33,10,4,15,4,0,0,210,273,485
LGA59370,43,524,562,530,109,639,167,13,178,102,12,114,52,0,55,34,0,34,923,665,1587
LGA59799,0,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
LGA60210,63,1180,1247,1168,222,1386,318,29,348,189,18,202,87,3,85,42,0,40,1861,1456,3313
LGA60410,106,1556,1660,2117,282,2398,1276,92,1368,1016,58,1074,433,21,455,239,7,249,5188,2022,7206
LGA60610,154,2666,2824,2558,351,2906,1112,82,1194,950,40,989,353,31,375,189,9,202,5306,3179,8491
LGA60810,199,2774,2973,3380,378,3756,1172,96,1273,975,39,1020,415,29,445,196,8,204,6341,3331,9671
LGA61010,20,443,462,320,100,416,109,15,124,78,14,86,47,0,43,29,5,28,597,575,1166
LGA61210,51,950,1006,1067,208,1277,374,39,413,306,41,347,182,25,212,97,0,102,2081,1265,3342
LGA61410,417,6240,6658,7755,908,8668,3578,250,3826,3163,143,3305,1245,65,1308,558,36,592,16719,7645,24363
LGA61510,73,1144,1223,1354,166,1524,605,68,680,541,34,576,217,22,239,134,5,139,2944,1437,4375
LGA61610,182,3534,3714,3525,497,4022,1470,87,1558,1152,51,1203,450,22,470,242,14,252,7019,4203,11220
LGA61810,44,922,964,1017,182,1199,304,31,338,265,19,288,129,12,138,60,7,67,1816,1175,2985
LGA62010,12,178,183,155,28,187,42,4,54,20,5,27,11,4,10,4,0,4,246,220,463
LGA62210,35,973,1010,1086,130,1213,342,28,367,272,18,289,113,9,128,76,0,80,1926,1161,3085
LGA62410,58,733,789,909,211,1115,200,23,223,149,12,164,44,4,48,26,4,28,1384,980,2363
LGA62610,301,6396,6696,5560,886,6444,2898,322,3211,2300,172,2471,1062,94,1160,642,29,680,12765,7903,20667
LGA62810,352,6702,7051,6380,1302,7679,2806,640,3444,2493,314,2809,885,126,1012,376,61,437,13288,9143,22434
LGA63010,142,1917,2063,2521,364,2882,953,74,1021,784,56,843,350,22,374,232,16,251,4983,2445,7427
LGA63210,51,650,702,924,154,1080,329,28,364,270,16,286,133,6,134,64,8,74,1769,870,2639
LGA63410,20,259,276,229,48,275,78,11,90,54,3,56,24,4,29,10,0,10,405,321,729
LGA63610,316,3645,3960,4934,588,5528,2235,165,2399,2254,89,2348,915,30,946,394,24,418,11059,4539,15594
LGA63810,88,1344,1433,1919,218,2138,637,48,682,524,20,548,211,16,225,107,6,109,3486,1652,5132
LGA64010,444,8913,9359,8420,1441,9859,3793,421,4212,3214,213,3432,1292,103,1396,660,47,708,17827,11143,28965
LGA64210,149,2358,2506,2900,372,3271,1123,81,1207,980,36,1020,398,13,409,197,7,205,5747,2866,8620
LGA64610,104,1599,1701,1979,242,2225,734,49,786,608,21,633,266,14,280,126,6,133,3822,1933,5754
LGA64810,124,1820,1942,2231,304,2540,985,89,1068,817,46,866,299,20,324,152,13,158,4605,2297,6900
LGA65010,41,631,675,879,107,984,351,43,388,324,22,345,133,11,145,89,9,96,1817,821,2642
LGA65210,28,488,515,455,92,551,105,14,119,61,16,75,22,6,24,19,0,21,684,615,1302
LGA65410,119,1900,2015,2087,262,2349,698,52,753,635,34,670,242,13,254,133,8,141,3911,2274,6186
LGA65610,51,982,1033,557,155,708,184,35,220,142,23,172,52,4,58,31,0,30,1024,1197,2217
LGA65810,164,2599,2762,3524,398,3919,1336,82,1422,1246,53,1293,511,16,526,237,15,252,7016,3160,10174
LGA69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA70200,205,2848,3057,2183,1119,3300,1411,256,1669,1175,135,1312,576,69,648,427,35,462,5976,4467,10445
LGA70420,29,617,643,310,484,792,184,53,236,160,36,197,117,11,128,301,6,307,1098,1210,2304
LGA70540,0,9,9,14,0,14,14,0,14,5,0,5,0,0,0,4,0,4,38,9,46
LGA70620,0,231,235,107,130,235,68,11,79,72,10,79,87,8,88,227,4,231,554,395,950
LGA70700,9,237,253,147,280,426,41,47,87,32,27,62,16,9,27,9,5,17,259,616,875
LGA71000,734,7918,8655,7245,2828,10074,4709,880,5587,3831,476,4312,1677,196,1875,1094,117,1212,19284,12429,31716
LGA71150,6,94,99,39,37,77,7,3,17,6,4,14,0,0,0,0,0,0,67,143,207
LGA71300,6,242,247,151,91,246,163,9,175,173,9,185,149,4,152,631,3,643,1281,362,1641
LGA72200,81,965,1053,735,648,1380,408,109,514,380,113,491,215,46,259,207,31,234,2025,1913,3936
LGA72300,197,1475,1671,1747,1050,2796,941,216,1160,1012,230,1242,539,91,630,436,52,487,4864,3117,7985
LGA72330,3,461,466,186,385,564,98,24,119,131,21,152,101,13,118,330,6,332,842,907,1752
LGA72800,421,2781,3208,3042,717,3761,2231,326,2558,2055,191,2241,957,94,1048,554,41,596,9263,4150,13416
LGA73600,7,489,495,194,911,1107,102,65,161,108,92,205,115,34,147,410,11,425,939,1597,2538
LGA74050,3,152,155,128,22,149,104,7,109,83,3,88,58,4,61,104,0,107,489,187,672
LGA74550,4,271,276,88,254,346,65,22,85,70,21,91,45,9,62,137,18,150,406,592,1003
LGA74560,14,53,73,63,19,86,24,4,23,10,0,10,5,0,5,5,0,5,119,80,197
LGA74660,16,344,363,169,377,542,117,50,164,120,45,161,99,17,117,438,6,446,957,840,1797
LGA74680,3,64,70,56,20,77,40,7,48,61,4,63,66,0,70,212,4,212,438,102,541
LGA79399,58,1039,1100,515,678,1199,261,121,381,276,106,388,137,42,185,84,19,102,1337,2018,3352
LGA79799,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
LGA89399,2635,44434,47074,48651,8073,56718,25384,2972,28350,26314,1465,27775,9861,564,10427,4370,255,4625,117214,57759,174972
LGA89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99399,21,405,424,327,85,413,106,24,132,89,17,110,37,8,47,20,0,24,604,531,1143
LGA99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
