POA_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA5311,29,22,3,0,176
POA5320,87,72,32,0,327
POA5321,56,52,9,3,210
POA5322,64,53,30,0,376
POA5330,246,245,114,39,1429
POA5331,28,25,8,0,148
POA5332,37,22,11,4,157
POA5333,405,316,160,50,2554
POA5340,114,88,35,4,660
POA5341,511,427,180,60,3227
POA5342,98,45,24,0,464
POA5343,356,312,113,61,2185
POA5344,78,44,27,6,349
POA5345,265,256,103,36,1547
POA5346,36,14,11,3,136
POA5350,56,28,8,0,265
POA5351,571,397,131,28,3009
POA5352,461,410,203,75,2618
POA5353,356,296,106,24,1798
POA5354,55,51,24,10,220
POA5355,573,490,240,82,3631
POA5356,84,51,12,0,363
POA5357,51,53,22,0,202
POA5360,135,70,20,10,612
POA5371,102,40,12,0,596
POA5372,152,102,32,15,1075
POA5373,295,241,121,47,1525
POA5374,138,97,55,11,639
POA5381,26,27,6,3,131
POA5400,83,39,7,4,522
POA5401,65,57,9,18,346
POA5410,26,11,3,0,122
POA5411,28,30,8,5,133
POA5412,105,111,64,23,509
POA5413,80,55,17,6,357
POA5414,15,17,5,0,68
POA5415,28,32,7,0,131
POA5416,24,16,9,4,96
POA5417,175,141,62,18,714
POA5418,17,5,3,0,56
POA5419,21,17,9,4,109
POA5420,0,0,4,0,30
POA5421,7,10,0,4,52
POA5422,159,146,54,16,715
POA5431,91,71,26,15,415
POA5432,17,16,6,0,88
POA5433,139,133,53,14,634
POA5434,125,156,38,6,562
POA5440,24,20,5,3,116
POA5451,92,81,28,6,370
POA5452,49,27,15,4,217
POA5453,469,392,154,49,2556
POA5454,20,24,11,0,156
POA5455,5,0,0,0,21
POA5460,46,47,15,0,265
POA5461,147,145,73,39,992
POA5462,47,24,10,0,196
POA5464,48,41,17,0,262
POA5470,25,9,6,0,65
POA5471,6,6,6,0,38
POA5472,19,20,7,0,99
POA5473,59,49,29,3,301
POA5480,62,71,30,10,380
POA5481,64,53,14,0,231
POA5482,39,24,10,9,206
POA5483,49,33,19,6,222
POA5485,81,85,33,4,383
POA5490,21,4,12,0,78
POA5491,132,84,39,17,731
POA5493,9,4,3,0,22
POA5495,90,86,31,7,332
POA5501,569,308,116,15,3301
POA5502,122,68,45,5,689
POA5510,15,8,0,0,52
POA5520,42,38,18,5,208
POA5521,9,6,0,0,51
POA5522,127,151,72,26,622
POA5523,155,145,63,25,859
POA5540,1075,744,377,103,5958
POA5550,63,52,22,6,386
POA5552,22,22,7,0,144
POA5554,379,272,150,81,2213
POA5555,56,39,23,3,229
POA5556,408,366,198,47,1903
POA5558,452,535,295,95,2320
POA5560,27,29,16,0,172
POA5570,41,65,26,3,235
POA5571,167,214,110,25,871
POA5572,13,7,0,0,71
POA5573,219,166,85,32,993
POA5575,244,229,121,36,1117
POA5576,95,86,32,9,426
POA5577,64,43,12,6,257
POA5580,40,24,16,0,157
POA5581,77,93,37,13,295
POA5582,58,61,49,6,262
POA5583,81,115,47,7,413
POA5600,596,391,197,97,3172
POA5601,17,20,4,0,46
POA5602,115,113,41,14,635
POA5603,44,33,5,5,186
POA5604,22,16,3,0,89
POA5605,166,165,76,35,845
POA5606,1015,745,357,139,6315
POA5607,465,391,119,14,2425
POA5608,976,528,328,88,5304
POA5609,109,49,38,5,890
POA5611,4,11,5,0,47
POA5630,8,4,3,0,63
POA5631,49,40,29,8,425
POA5632,13,0,0,0,80
POA5633,21,15,0,3,94
POA5640,93,51,32,22,460
POA5641,62,52,28,12,396
POA5642,13,6,5,0,80
POA5650,9,7,0,6,78
POA5651,5,4,0,0,25
POA5652,47,45,9,11,272
POA5653,7,0,0,0,23
POA5654,20,4,3,0,75
POA5655,0,11,0,0,27
POA5660,0,0,0,0,10
POA5661,6,4,0,0,51
POA5670,65,47,9,0,250
POA5671,19,18,4,0,94
POA5680,210,226,52,22,1032
POA5690,367,264,80,16,2045
POA5700,885,621,267,56,4917
POA5701,15,16,7,0,49
POA5710,167,103,43,6,1021
POA5713,0,0,0,0,13
POA5715,3,0,0,0,20
POA5717,28,11,0,0,69
POA5719,8,10,5,0,66
POA5720,93,27,5,0,614
POA5722,28,33,21,0,135
POA5723,317,278,136,24,1738
POA5724,39,32,0,0,128
POA5725,527,76,9,3,4198
POA5730,45,25,9,0,127
POA5731,170,65,11,3,756
POA5732,80,44,3,0,293
POA5733,39,31,12,0,159
POA5734,20,17,0,0,76
POA5950,19,4,0,0,44
POA6000,1089,612,247,90,11497
POA6003,238,134,40,5,2612
POA6004,1101,685,219,58,9233
POA6005,443,285,147,50,4496
POA6006,813,463,171,79,5664
POA6007,615,473,191,119,5346
POA6008,1613,1390,753,224,10873
POA6009,1758,1666,1036,388,12389
POA6010,1820,1546,1023,493,11309
POA6011,1057,808,452,178,5568
POA6012,866,682,382,131,5346
POA6014,1957,1338,719,372,13010
POA6015,836,468,386,171,3882
POA6016,775,429,146,58,6187
POA6017,205,152,62,17,2767
POA6018,3095,2224,1469,686,23531
POA6019,1883,1205,665,216,14487
POA6020,2120,1986,903,255,12208
POA6021,1432,950,558,219,10712
POA6022,328,362,170,38,2689
POA6023,1276,1189,549,134,8376
POA6024,918,930,419,66,6913
POA6025,2767,2042,770,185,16399
POA6026,2186,1542,517,272,11465
POA6027,3952,2671,1012,408,22739
POA6028,2414,1068,327,71,11913
POA6029,267,224,130,37,1586
POA6030,2924,1419,844,352,18910
POA6031,946,429,139,24,8353
POA6032,27,9,7,0,110
POA6033,47,21,4,0,187
POA6034,115,65,14,0,1619
POA6035,662,449,253,88,4702
POA6036,936,474,164,32,7655
POA6037,306,199,84,8,1644
POA6038,409,193,66,13,4631
POA6041,123,136,71,10,665
POA6042,12,27,6,0,61
POA6043,33,34,11,0,113
POA6044,125,134,67,15,630
POA6050,1424,1073,601,327,9571
POA6051,832,657,225,38,8264
POA6052,968,577,261,97,6397
POA6053,1160,756,349,171,8333
POA6054,1546,1008,464,121,10253
POA6055,1520,861,376,106,15465
POA6056,2940,2158,1140,483,19520
POA6057,1067,710,396,96,7236
POA6058,829,651,248,105,6011
POA6059,1855,1339,814,288,12371
POA6060,1678,1074,489,266,14844
POA6061,1910,1249,577,169,19470
POA6062,2148,1719,931,249,16397
POA6063,858,519,169,28,6103
POA6064,1747,1199,547,191,12328
POA6065,3705,2256,1064,408,31144
POA6066,1449,695,274,54,7633
POA6067,9,0,0,0,38
POA6068,0,0,0,0,3
POA6069,2287,1246,592,167,19906
POA6070,394,317,170,35,2042
POA6071,375,281,135,22,1854
POA6072,96,69,19,10,438
POA6073,296,274,155,56,1604
POA6074,90,84,34,6,475
POA6076,2042,1866,1130,402,11645
POA6077,167,145,76,17,734
POA6078,90,70,25,0,419
POA6079,0,4,0,0,13
POA6081,500,316,113,24,2441
POA6082,293,191,87,15,1619
POA6083,395,229,99,17,1765
POA6084,763,409,162,31,4089
POA6090,0,0,0,0,16
POA6100,1297,790,249,64,10257
POA6101,1092,719,278,85,10191
POA6102,585,465,496,483,8230
POA6103,668,381,160,52,6500
POA6104,1073,657,322,202,8177
POA6105,837,573,296,97,8012
POA6106,4,0,0,0,11
POA6107,2336,1379,644,189,24576
POA6108,1522,1136,544,118,10653
POA6109,648,459,244,85,5548
POA6110,2336,1561,824,398,19378
POA6111,1836,1404,613,181,11091
POA6112,3391,2038,919,264,31938
POA6121,285,148,45,10,1399
POA6122,982,547,200,48,9037
POA6123,130,68,17,10,945
POA6124,117,48,33,6,566
POA6125,273,179,81,21,1528
POA6126,34,29,9,0,149
POA6147,933,742,324,67,7151
POA6148,1512,1231,740,285,10189
POA6149,1690,1628,646,219,10208
POA6150,1283,1222,728,390,8220
POA6151,1676,1323,577,183,10574
POA6152,2158,1709,930,572,15581
POA6153,2065,1714,785,253,12449
POA6154,904,655,450,287,5894
POA6155,3803,2454,890,215,26410
POA6156,1526,927,596,304,9705
POA6157,1237,955,485,199,8077
POA6158,858,605,307,165,4544
POA6159,470,382,213,84,2510
POA6160,1055,789,334,90,6496
POA6161,58,52,23,4,300
POA6162,1258,896,306,85,6859
POA6163,4415,2999,1392,613,28530
POA6164,3527,1931,720,260,32292
POA6165,11,0,0,0,34
POA6166,911,602,250,48,5321
POA6167,1428,896,360,122,11932
POA6168,1965,1482,879,343,11953
POA6169,2865,1703,933,343,15795
POA6170,688,337,115,15,7968
POA6171,1600,891,494,67,15999
POA6172,903,413,214,99,5582
POA6173,753,268,99,15,5479
POA6174,279,130,55,11,2533
POA6175,259,120,49,15,1807
POA6176,110,69,17,12,900
POA6180,303,243,134,22,2858
POA6181,48,20,5,0,233
POA6182,0,0,0,0,0
POA6207,94,48,11,6,532
POA6208,814,750,472,171,5202
POA6209,157,145,78,14,827
POA6210,5672,4909,2957,1150,33032
POA6211,657,620,280,43,3664
POA6213,72,59,17,6,334
POA6214,54,46,11,4,272
POA6215,358,243,135,52,1869
POA6218,39,31,8,9,201
POA6219,62,31,12,5,266
POA6220,286,244,134,62,1882
POA6221,48,17,7,0,202
POA6223,11,6,4,0,70
POA6224,95,63,30,8,544
POA6225,671,481,235,83,3845
POA6226,87,51,9,0,425
POA6227,55,39,15,3,354
POA6228,5,3,4,6,46
POA6229,22,26,12,4,92
POA6230,3406,2326,1083,409,21217
POA6232,639,441,275,156,4898
POA6233,1500,999,387,78,8954
POA6236,221,169,44,15,1088
POA6237,273,185,54,7,1246
POA6239,388,303,148,37,2069
POA6240,15,22,17,0,87
POA6243,8,12,0,0,37
POA6244,137,99,64,9,708
POA6251,32,26,7,0,133
POA6252,17,7,4,0,65
POA6253,74,106,44,8,400
POA6254,83,31,16,0,319
POA6255,445,483,184,33,2252
POA6256,49,31,10,0,222
POA6258,495,351,155,47,2649
POA6260,174,113,48,22,825
POA6262,96,60,24,3,353
POA6271,278,209,77,11,1502
POA6275,172,199,85,12,803
POA6280,2435,2086,1063,364,14441
POA6281,734,717,319,58,4579
POA6282,247,212,64,7,1136
POA6284,217,130,38,12,1419
POA6285,975,683,236,86,5771
POA6286,102,67,20,0,464
POA6288,43,38,16,3,304
POA6290,227,257,121,40,971
POA6302,350,367,196,49,1675
POA6304,146,163,70,19,744
POA6306,70,50,24,9,379
POA6308,124,109,53,7,648
POA6309,26,27,6,3,131
POA6311,64,41,27,5,262
POA6312,349,256,136,78,2130
POA6313,19,15,8,0,98
POA6315,127,120,54,7,696
POA6316,34,33,9,0,171
POA6317,253,161,89,37,1600
POA6318,38,38,16,0,216
POA6320,46,17,4,0,198
POA6321,30,17,12,5,175
POA6322,19,19,10,3,110
POA6323,99,97,35,0,447
POA6324,334,270,111,52,1725
POA6326,42,43,11,0,223
POA6327,22,15,9,3,119
POA6328,44,23,15,0,208
POA6330,3274,2524,1274,488,18165
POA6333,765,663,333,84,3584
POA6335,60,34,8,6,308
POA6336,22,18,0,0,118
POA6337,39,10,6,0,238
POA6338,59,42,16,3,306
POA6341,9,18,3,0,97
POA6343,14,13,6,0,108
POA6346,139,51,3,0,809
POA6348,96,67,47,3,534
POA6350,33,20,11,0,145
POA6351,5,3,0,0,28
POA6352,21,6,0,0,104
POA6353,54,30,12,6,330
POA6355,32,13,3,0,186
POA6356,9,4,0,0,49
POA6357,5,7,0,0,30
POA6358,5,4,0,0,38
POA6359,74,25,13,6,389
POA6361,9,8,0,0,44
POA6363,0,0,0,0,30
POA6365,42,25,8,3,215
POA6367,27,14,4,3,124
POA6368,0,3,3,0,35
POA6369,49,25,27,13,270
POA6370,43,18,13,7,177
POA6372,13,10,5,0,54
POA6373,3,5,0,0,29
POA6375,53,54,23,14,358
POA6383,91,99,36,16,468
POA6384,0,0,0,0,9
POA6385,5,4,0,0,5
POA6386,16,9,0,0,62
POA6390,194,103,34,7,959
POA6391,70,40,23,7,451
POA6392,46,19,7,7,167
POA6393,5,5,0,0,40
POA6394,40,31,13,0,227
POA6395,124,64,50,29,645
POA6396,41,19,5,3,180
POA6397,10,7,3,0,37
POA6398,81,70,36,4,326
POA6401,625,474,223,75,3639
POA6403,20,7,3,0,64
POA6405,13,18,8,0,121
POA6407,54,31,21,6,361
POA6409,33,15,10,4,161
POA6410,75,47,40,17,355
POA6411,19,10,6,0,76
POA6412,13,5,0,0,36
POA6413,6,8,4,0,28
POA6414,9,10,4,0,38
POA6415,214,136,56,22,1256
POA6418,51,42,25,9,338
POA6419,0,0,0,0,26
POA6420,0,0,0,0,22
POA6421,4,7,0,0,63
POA6422,3,0,0,0,30
POA6423,49,9,10,0,180
POA6424,4,3,0,0,29
POA6425,8,4,0,0,32
POA6426,138,46,12,4,807
POA6427,45,13,0,0,258
POA6428,12,4,0,0,30
POA6429,156,74,10,4,877
POA6430,1488,721,238,86,10986
POA6431,138,39,8,0,988
POA6432,584,286,62,6,3188
POA6434,42,12,0,0,462
POA6436,54,31,3,0,282
POA6437,145,33,0,0,1253
POA6438,225,99,18,0,1509
POA6440,515,99,10,0,3007
POA6442,214,90,34,4,1470
POA6443,126,107,18,0,709
POA6445,15,8,0,0,62
POA6446,10,3,5,0,50
POA6447,10,4,0,0,78
POA6448,22,22,3,4,166
POA6450,947,642,413,103,5989
POA6452,0,0,0,0,4
POA6460,54,60,12,5,287
POA6461,28,45,6,3,197
POA6462,7,10,0,0,56
POA6463,0,0,0,0,10
POA6465,0,0,0,0,14
POA6466,0,4,0,0,16
POA6467,4,5,0,0,10
POA6468,16,4,6,0,87
POA6470,0,0,0,0,4
POA6472,5,4,0,4,58
POA6473,0,0,0,0,14
POA6475,18,25,10,0,123
POA6476,0,5,0,0,9
POA6477,19,9,3,0,97
POA6479,48,28,14,7,238
POA6480,4,0,0,0,23
POA6484,0,0,0,0,12
POA6485,26,27,18,9,189
POA6487,4,0,0,0,18
POA6488,10,5,4,0,56
POA6489,10,15,4,0,50
POA6490,24,23,3,0,128
POA6501,70,43,19,5,389
POA6502,120,98,50,6,538
POA6503,187,147,88,10,1002
POA6504,34,18,20,0,139
POA6505,10,7,3,0,51
POA6506,5,7,0,0,26
POA6507,82,31,10,4,462
POA6509,21,21,12,0,106
POA6510,156,125,45,19,854
POA6511,50,66,17,5,260
POA6512,8,12,0,0,36
POA6513,12,5,5,0,68
POA6514,74,81,37,7,299
POA6515,31,27,4,0,149
POA6516,193,214,69,18,972
POA6517,28,39,19,0,217
POA6518,39,14,12,5,131
POA6519,50,42,20,0,292
POA6521,35,33,14,0,189
POA6522,61,57,23,5,284
POA6525,364,374,178,33,1826
POA6528,33,22,10,4,155
POA6530,2473,1715,836,352,15464
POA6532,570,369,106,19,3262
POA6535,171,172,55,17,756
POA6536,305,367,112,18,1336
POA6537,365,373,117,6,1633
POA6556,207,120,32,9,940
POA6558,112,58,16,3,586
POA6560,106,88,47,9,546
POA6562,90,122,29,6,617
POA6564,34,34,5,5,159
POA6566,417,357,139,23,1654
POA6567,71,47,28,0,235
POA6568,15,17,4,0,70
POA6569,13,8,10,5,96
POA6571,4,4,0,0,32
POA6572,0,0,0,0,15
POA6574,3,3,0,0,34
POA6575,3,8,4,0,47
POA6603,82,74,26,5,483
POA6605,6,0,0,0,19
POA6606,3,7,0,3,47
POA6608,20,4,0,0,69
POA6609,49,36,21,10,355
POA6612,25,23,8,4,91
POA6613,10,3,0,0,20
POA6614,0,0,0,0,7
POA6616,8,4,0,0,30
POA6620,120,42,11,5,691
POA6623,57,80,24,10,329
POA6625,0,4,0,0,24
POA6627,6,4,4,0,35
POA6628,0,0,0,0,4
POA6630,54,95,8,0,325
POA6631,5,0,0,0,5
POA6632,0,0,4,0,33
POA6635,121,46,8,0,845
POA6638,181,93,18,4,991
POA6639,51,24,15,0,224
POA6640,72,47,9,0,359
POA6642,250,111,29,0,1541
POA6646,108,39,7,0,949
POA6701,823,885,255,33,4310
POA6705,41,54,7,0,169
POA6707,661,712,198,26,3659
POA6710,260,214,51,0,1323
POA6712,37,6,0,0,268
POA6713,122,48,14,0,727
POA6714,1704,617,135,12,13164
POA6716,264,76,8,0,1690
POA6718,51,32,10,0,262
POA6720,299,180,38,3,1834
POA6721,593,334,78,4,3737
POA6722,941,307,58,15,7004
POA6725,1512,1233,304,45,8565
POA6726,1007,933,301,23,5518
POA6728,615,462,77,7,3379
POA6740,236,151,30,0,1261
POA6743,921,637,115,19,4945
POA6751,955,353,63,0,6192
POA6753,1306,250,27,0,9587
POA6754,148,22,8,4,1007
POA6758,261,37,3,3,2163
POA6760,249,104,8,0,1573
POA6762,121,16,0,0,887
POA6765,152,116,17,0,848
POA6770,370,287,56,8,1871
POA7000,1639,1196,466,203,11347
POA7004,758,691,382,149,5396
POA7005,1185,1183,649,231,9145
POA7007,324,293,104,22,2050
POA7008,1109,813,318,132,7836
POA7009,856,555,251,78,7283
POA7010,1050,760,454,218,8875
POA7011,924,605,435,151,6939
POA7012,81,58,10,4,414
POA7015,888,798,504,269,6015
POA7016,138,72,36,9,1153
POA7017,495,358,124,34,2971
POA7018,1741,1481,891,307,12261
POA7019,314,226,91,14,3290
POA7020,337,180,43,3,1423
POA7021,260,160,71,21,1328
POA7022,105,89,38,9,514
POA7023,56,46,13,0,209
POA7024,64,44,9,4,329
POA7025,222,171,89,19,1043
POA7026,97,49,32,6,549
POA7027,35,21,4,0,196
POA7030,1010,761,288,57,7390
POA7050,935,890,504,165,7897
POA7052,672,573,269,80,4128
POA7053,425,349,152,70,2161
POA7054,844,628,276,70,4984
POA7055,21,20,7,0,276
POA7109,1041,629,243,45,4940
POA7112,343,382,134,9,1792
POA7113,143,127,60,58,749
POA7116,266,227,92,9,1210
POA7117,113,72,46,12,440
POA7119,5,0,0,0,10
POA7120,172,123,52,16,762
POA7139,0,0,0,0,9
POA7140,898,612,277,70,5011
POA7150,419,278,109,20,1860
POA7155,111,115,46,13,542
POA7162,107,80,44,0,406
POA7163,48,42,25,0,228
POA7170,655,418,136,16,3063
POA7171,288,213,102,29,1860
POA7172,315,232,130,44,2025
POA7173,789,515,155,25,3772
POA7174,16,13,8,0,95
POA7175,27,19,9,0,100
POA7176,23,6,3,4,95
POA7177,32,35,12,0,186
POA7178,50,32,10,6,164
POA7179,56,63,23,6,249
POA7180,28,30,5,0,82
POA7182,37,32,8,7,160
POA7183,5,5,0,0,14
POA7184,108,82,48,7,443
POA7185,28,15,6,5,80
POA7186,20,29,10,3,105
POA7187,28,26,8,7,88
POA7190,405,375,183,58,1692
POA7209,39,48,12,5,169
POA7210,86,88,29,11,454
POA7211,30,15,9,0,108
POA7212,184,175,79,16,899
POA7213,17,20,3,0,115
POA7214,59,59,14,3,270
POA7215,533,447,160,37,2421
POA7216,438,382,184,34,1794
POA7248,879,579,351,97,7719
POA7249,832,623,393,218,6723
POA7250,4131,3137,1672,530,25602
POA7252,345,261,106,14,1558
POA7253,368,378,194,43,2067
POA7254,51,43,8,3,264
POA7255,93,112,50,13,463
POA7256,126,126,53,18,773
POA7257,0,6,3,0,25
POA7258,110,67,21,3,481
POA7259,56,32,7,0,241
POA7260,230,192,126,78,1334
POA7261,25,18,0,0,104
POA7262,192,150,66,23,935
POA7263,55,39,16,4,247
POA7264,66,39,16,9,255
POA7265,22,17,3,5,88
POA7267,86,45,15,4,390
POA7268,117,94,33,10,597
POA7270,492,456,171,35,2040
POA7275,393,298,132,26,1689
POA7276,73,42,12,7,306
POA7277,568,447,284,100,3305
POA7290,168,108,57,10,1057
POA7291,47,30,21,4,315
POA7292,47,39,15,0,297
POA7300,303,215,100,12,1720
POA7301,348,344,172,49,2082
POA7302,125,69,36,9,725
POA7303,271,229,80,18,1326
POA7304,551,496,219,57,2812
POA7305,102,69,40,8,518
POA7306,489,313,126,29,2277
POA7307,956,913,438,130,5361
POA7310,2139,1775,868,297,12923
POA7315,1318,1031,533,164,6982
POA7316,596,412,184,37,3020
POA7320,1237,785,473,172,7598
POA7321,473,334,131,19,2437
POA7322,335,243,143,35,1752
POA7325,800,618,319,83,4015
POA7330,460,339,142,44,2846
POA7331,80,53,19,4,309
POA7466,0,4,0,0,12
POA7467,160,117,54,18,836
POA7468,83,54,27,7,448
POA7469,108,59,12,4,429
POA7470,98,55,20,3,411
POA0800,1362,900,218,14,8465
POA0810,2450,1716,660,136,19834
POA0812,1481,985,313,48,9230
POA0820,1940,1174,407,85,13598
POA0822,1862,1183,240,15,9911
POA0828,285,195,34,0,1398
POA0829,184,159,47,21,1141
POA0830,1261,619,182,53,8947
POA0832,745,344,84,25,8821
POA0834,228,203,34,6,1108
POA0835,617,377,106,16,3983
POA0836,666,418,86,11,3903
POA0837,90,93,12,0,357
POA0838,112,94,22,0,559
POA0839,82,103,11,0,467
POA0840,91,116,21,0,361
POA0841,69,67,29,0,394
POA0845,89,66,10,0,334
POA0846,98,116,23,6,401
POA0847,54,49,7,0,244
POA0850,981,695,151,18,5496
POA0852,1100,923,151,11,5902
POA0853,21,5,0,0,485
POA0854,66,40,4,0,297
POA0860,290,159,44,0,1452
POA0862,117,151,21,0,702
POA0870,1863,1092,265,38,11925
POA0872,1195,640,115,12,6391
POA0873,467,441,114,33,2110
POA0874,85,22,0,0,387
POA0875,156,53,20,3,1043
POA0880,373,142,35,5,2557
POA0885,63,19,4,0,429
POA0886,259,135,36,0,1049
POA2600,955,925,472,165,5879
POA2601,290,161,46,15,4873
POA2602,2836,1864,919,486,21646
POA2603,1171,804,413,197,7047
POA2604,1252,864,410,170,9283
POA2605,1270,958,683,387,7974
POA2606,831,581,376,123,7932
POA2607,1421,1040,775,265,8668
POA2609,143,95,39,3,734
POA2611,2461,1985,1223,393,21108
POA2612,1321,940,420,141,13659
POA2614,1646,1395,1034,365,12345
POA2615,3074,2496,1135,220,24452
POA2617,2379,2057,869,302,23468
POA2618,132,120,56,9,751
POA2900,273,253,177,63,2655
POA2902,1241,1224,519,89,8274
POA2903,826,738,219,30,5056
POA2904,1331,1011,380,133,7037
POA2905,2552,1354,430,129,14061
POA2906,1555,677,279,106,8808
POA2911,213,145,89,23,2739
POA2912,451,208,67,16,5145
POA2913,2521,1438,596,97,21601
POA2914,1417,679,228,30,18372
POA2899,298,227,111,27,1274
POA6798,164,107,18,0,1243
POA6799,82,50,22,0,364
POA9797,815,207,29,6,4449
