RA_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
RA10,..,9721,12470,4025,2628,2127,1033,351,146,32496,..,23385,36169,8947,6728,7934,5711,2185,618,91677,..,8988,32498,27275,29215,48249,60783,51773,28035,286822,5294,7687,7744,4234,3424,4014,3633,1955,1149,39135,308,433,692,438,546,1338,1117,304,67,5245,517807,339132,441596,425351,377103,335552,263521,149099,56522,2905681,..,12975,285337,524616,455826,397610,309159,155364,33526,2174411,..,40692,183993,97442,67238,43784,20129,6153,818,460260,..,4413,25496,53541,72215,47089,22217,15333,10327,250633,1054020,..,..,..,..,..,..,..,..,1054020,..,319633,..,..,..,..,..,..,..,319633,..,185599,140591,42354,27210,14068,2695,113,0,412638,..,30197,28961,11269,12260,23040,25053,17187,9927,157891,..,20143,30673,11268,7769,5974,2819,871,262,79763,..,50544,88219,24615,17190,17950,12658,4770,1148,217103,..,17957,68392,62388,65477,90368,96360,73874,37951,512762,10901,14150,15707,9550,7872,7691,6206,3080,1570,76726,616,844,1362,982,1044,1998,1954,553,124,9474,1065533,697145,868732,838029,734104,649575,499241,277301,95656,5725320
RA11,..,2508,1995,746,680,607,383,134,46,7098,..,3793,4004,1473,2142,3346,2542,997,249,18538,..,2309,5120,4273,8250,17993,23052,20270,10324,91598,2341,3981,2523,1434,1622,2112,1759,942,491,17210,48,58,114,77,54,98,50,27,10,535,127991,75697,80798,83648,94157,104530,96256,55166,18829,737072,..,2194,49609,87112,99123,114004,114847,59880,11434,538199,..,15473,39863,25726,24018,20373,11583,3466,470,140975,..,2328,10750,16344,18684,10247,5348,4035,2834,70567,257875,..,..,..,..,..,..,..,..,257875,..,55901,..,..,..,..,..,..,..,55901,..,48400,20399,8351,6533,4139,834,24,0,88683,..,6015,3633,1686,2618,4872,5722,3741,2171,30451,..,4965,4851,2106,1883,1570,964,366,92,16796,..,7241,9400,3678,4689,6773,5582,2114,459,39929,..,4631,11641,11086,18762,34502,40007,30412,14286,165327,4848,7401,5349,3553,3512,3802,3302,1578,681,34023,106,124,267,159,122,173,109,60,14,1132,262826,154668,155766,159814,179942,200439,188295,105660,32446,1439860
RA12,..,478,335,136,126,111,60,21,14,1277,..,561,701,251,460,720,541,175,49,3463,..,673,1182,903,1870,4136,5010,4566,2314,20655,702,1275,717,349,438,642,457,207,95,4880,4,23,47,9,9,19,10,11,0,131,29796,16585,18016,18026,21299,25702,21788,12355,4102,167668,..,555,11070,18843,23263,29376,27252,13688,2444,126501,..,3719,9341,5725,5492,5073,2729,699,84,32865,..,605,2587,3465,3506,2134,1256,971,710,15244,60132,..,..,..,..,..,..,..,..,60132,..,11333,..,..,..,..,..,..,..,11333,..,10288,4194,1863,1534,1013,210,4,0,19101,..,1612,761,398,657,1158,1200,810,421,7010,..,924,820,393,415,349,188,64,17,3174,..,1231,1764,643,989,1524,1203,436,93,7880,..,1491,3024,2572,4893,9327,10135,7365,3257,42067,1405,2340,1536,896,933,1193,900,372,150,9729,20,41,92,22,23,30,15,10,4,265,61559,34150,35194,34825,41704,51178,45092,24420,7177,335295
RA13,..,31,20,11,14,6,4,0,0,87,..,34,42,19,23,44,25,10,5,198,..,71,116,70,111,228,242,227,111,1175,71,100,49,37,35,52,40,20,6,404,0,0,3,0,0,0,0,0,0,7,2109,1057,1398,1180,1342,1501,1027,623,206,10436,..,36,876,1247,1481,1697,1275,610,124,7341,..,264,738,394,377,305,135,45,11,2257,..,48,211,196,185,143,91,62,35,964,4183,..,..,..,..,..,..,..,..,4183,..,605,..,..,..,..,..,..,..,605,..,575,236,118,98,66,7,0,0,1096,..,123,58,27,54,94,79,47,20,502,..,66,70,27,29,31,14,6,0,237,..,97,122,43,49,96,80,29,5,519,..,149,285,194,302,625,585,420,171,2736,136,210,122,73,88,102,86,34,13,869,0,3,8,0,0,0,0,0,0,19,4321,2173,2730,2319,2662,3161,2349,1255,372,21336
RA14,..,14,8,0,0,0,4,0,0,28,..,9,14,7,12,8,5,0,0,53,..,20,45,25,45,75,66,63,15,356,14,28,13,15,17,10,25,5,0,131,0,0,0,0,0,0,0,0,0,0,500,290,401,317,355,365,279,138,43,2697,..,6,196,229,270,346,280,127,32,1489,..,70,181,143,144,108,37,3,0,686,..,18,66,69,64,47,28,12,15,319,1071,..,..,..,..,..,..,..,..,1071,..,109,..,..,..,..,..,..,..,109,..,169,78,32,24,12,0,0,0,322,..,67,28,22,23,20,33,12,7,217,..,25,16,10,4,3,3,0,0,64,..,21,31,19,27,22,12,3,0,135,..,36,82,69,120,194,181,114,23,819,33,64,32,21,35,34,37,15,0,274,0,0,4,0,0,0,0,0,0,5,1101,597,721,610,710,786,623,289,74,5516
RA15,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,..,7148,9196,2326,1434,1070,541,177,76,21971,..,23603,35186,7396,4684,5414,3848,1456,390,81966,..,9481,35889,28763,27464,40739,50407,43363,23862,259970,3772,6237,6364,3206,2637,3087,2364,1420,789,29879,209,289,475,288,444,1202,1008,277,54,4239,424074,282505,386470,361441,314286,265557,206303,118930,44952,2404518,..,8044,235043,442754,374673,313151,241054,124361,27447,1766522,..,31274,172757,90154,58951,35276,15398,4434,627,408872,..,2616,17940,42890,62078,38874,17024,11643,7689,200763,863866,..,..,..,..,..,..,..,..,863866,..,276672,..,..,..,..,..,..,..,276672,..,138488,112227,30834,20997,10285,1901,71,0,314809,..,25914,27564,9265,9299,16689,17076,10975,6347,123123,..,15373,23602,6914,4314,3101,1443,455,137,55349,..,50837,87534,20519,12255,12015,8254,3142,724,195272,..,18200,72120,61026,59899,74436,78071,60281,32270,456300,7597,11433,13243,7425,6154,5952,4135,2274,1075,59287,398,598,951,708,911,1813,1702,491,97,7675,871862,579447,762981,712480,609539,511590,386065,218137,76413,4728515
RA21,..,1598,1253,406,342,263,179,55,31,4133,..,2916,3162,936,1305,1981,1502,556,105,12458,..,1688,4735,4110,7026,14664,18275,14594,7402,72500,1345,2520,1641,888,1008,1176,926,434,238,10174,27,29,70,34,41,43,54,14,6,310,99264,58503,64561,68138,75106,80465,71238,38159,12604,568042,..,1361,37736,72945,81143,90897,86864,42379,7743,421073,..,10480,35877,21924,19833,14841,7697,2139,247,113034,..,1234,7197,11865,14671,8036,3819,2625,1785,51238,201752,..,..,..,..,..,..,..,..,201752,..,49016,..,..,..,..,..,..,..,49016,..,37326,16934,6102,4482,2377,498,12,0,67728,..,4026,2801,1146,1711,3223,3398,2125,1175,19600,..,3132,3163,1156,1004,758,467,149,53,9877,..,5753,7481,2525,2959,3983,3216,1176,227,27322,..,3364,10672,10128,16014,27723,31187,22051,10270,131407,2757,4509,3344,2071,2100,2110,1629,763,347,19627,68,56,126,75,79,78,83,23,7,595,204577,120259,125333,129940,143994,154026,138860,73441,21849,1112268
RA22,..,317,288,120,79,62,40,10,3,926,..,509,696,277,320,468,350,151,21,2795,..,411,1030,751,1478,3160,3826,3412,1931,15995,309,545,361,192,255,321,199,108,47,2338,9,12,22,9,8,20,7,6,0,87,19378,10876,12721,12647,14980,17959,15838,8962,3120,116489,..,322,7506,13000,15741,20811,20046,10062,1877,89372,..,2319,6628,4105,3865,3407,1902,531,69,22821,..,296,1489,2300,2654,1477,730,579,412,9944,38778,..,..,..,..,..,..,..,..,38778,..,8259,..,..,..,..,..,..,..,8259,..,6949,3078,1172,978,592,101,0,0,12862,..,943,612,242,391,661,722,455,247,4272,..,651,705,357,247,194,113,37,11,2318,..,1123,1724,761,788,979,796,322,49,6534,..,868,2402,1996,3578,6786,7632,5343,2721,31326,620,989,755,454,543,606,415,186,60,4643,13,18,48,29,25,26,19,6,0,183,39412,22735,24958,24422,28813,35540,32466,17516,5448,231305
RA23,..,0,6,3,0,0,0,0,0,6,..,0,0,3,5,14,5,4,0,29,..,6,13,13,16,50,42,47,24,202,0,4,0,4,5,3,8,0,0,26,0,0,0,0,0,0,0,0,0,0,209,73,111,152,150,283,221,138,46,1382,..,5,84,167,164,332,320,163,38,1269,..,13,47,41,41,55,23,5,0,236,..,0,13,21,16,15,11,5,4,92,430,..,..,..,..,..,..,..,..,430,..,77,..,..,..,..,..,..,..,77,..,47,30,10,13,11,0,0,0,115,..,5,5,0,0,8,3,5,3,42,..,7,6,7,0,0,0,0,0,13,..,3,4,6,10,23,12,6,0,59,..,14,35,38,57,129,116,85,46,510,10,10,6,10,7,7,15,0,0,65,0,0,0,0,0,0,0,0,0,0,445,183,225,304,307,572,503,275,96,2911
RA25,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,..,7423,7020,2124,1502,1293,662,230,54,20313,..,19483,20466,4973,4635,5741,3880,1508,304,60974,..,6320,17299,14119,17936,28982,35629,29007,13846,163138,3249,6057,4819,2443,2470,3173,2990,1469,618,27292,136,273,464,200,277,558,472,146,30,2546,290993,198330,232432,229865,215219,181710,146635,80408,26512,1602087,..,5918,134953,257588,244534,205416,167810,84135,15456,1115809,..,37750,119540,65972,46216,28325,13057,3972,524,315361,..,3696,19535,37568,44452,22649,10530,6748,4356,149538,591829,..,..,..,..,..,..,..,..,591829,..,158760,..,..,..,..,..,..,..,158760,..,97950,50400,17053,11493,6076,1280,55,0,184308,..,18788,14812,5845,6328,10923,12058,7899,4055,80711,..,14920,16992,5930,4332,3160,1678,560,129,47689,..,37839,46633,13004,11015,11965,8300,3250,633,132646,..,11996,36215,33143,38997,51011,55248,40990,18892,286490,6589,11129,10082,5874,5267,5656,5165,2500,883,53159,268,480,920,438,531,895,846,268,60,4701,598682,399227,450077,442420,413172,346075,275974,150380,45004,3121006
RA31,..,1923,1185,475,465,426,286,98,23,4883,..,2398,2205,920,1478,2178,1632,631,117,11555,..,1658,3258,2682,5134,10114,12523,10853,5012,51239,1401,2161,1396,849,1094,1551,1403,680,283,10817,25,40,97,36,36,66,53,27,4,387,83586,49730,51898,55254,61086,65680,57788,31674,9473,466180,..,2155,33211,57142,65226,74046,70904,35358,5856,343894,..,11339,24874,15644,14297,11625,6212,1951,237,86182,..,1638,7480,11519,11419,5848,3242,2479,1544,45155,168716,..,..,..,..,..,..,..,..,168716,..,35792,..,..,..,..,..,..,..,35792,..,29943,11791,5260,4204,2308,411,12,0,53932,..,4528,2488,1230,1930,3403,3696,2597,1277,21146,..,3777,3031,1415,1344,1128,707,256,61,11725,..,4682,5368,2343,3214,4392,3563,1370,218,25160,..,3380,7687,7126,11671,19725,22189,16619,7081,95474,2806,4089,3143,2058,2316,2811,2717,1234,405,21577,49,74,185,80,68,112,91,50,12,723,171572,101404,99253,103811,115681,125405,113729,61922,16693,909480
RA32,..,1152,838,286,265,231,116,47,16,2960,..,2500,2348,777,1121,1433,990,307,64,9539,..,1565,2956,2386,4019,7031,7474,5552,2362,33345,1074,1583,1230,677,887,1350,1348,652,192,9002,11,51,108,29,37,53,44,9,0,343,57465,34370,38929,40316,41989,41277,31942,16099,4609,306996,..,1091,21946,39681,43357,44531,37246,17169,2750,207769,..,8991,21351,13238,11212,8249,3810,1062,121,68036,..,1043,4908,8015,7997,3938,2037,1421,797,30155,116507,..,..,..,..,..,..,..,..,116507,..,23439,..,..,..,..,..,..,..,23439,..,18348,7194,3071,2219,1274,229,12,0,32342,..,3587,1946,909,1318,2266,2154,1383,715,14281,..,2308,2111,883,825,637,383,129,38,7317,..,4738,5504,2055,2487,3046,2258,774,127,20984,..,3185,6841,6135,9462,14697,14493,9067,3434,67309,2246,2889,2553,1608,1871,2465,2649,1193,311,17771,34,114,221,82,79,90,83,32,6,732,118778,69730,74588,75673,80828,81191,65337,32235,8293,606654
RA33,..,94,55,22,22,14,9,3,0,224,..,161,184,40,84,115,58,19,0,660,..,195,338,230,354,541,487,396,138,2675,132,206,140,92,129,184,198,72,16,1163,5,7,16,3,6,10,4,0,0,45,6303,3107,4239,3719,3760,3731,2667,1221,305,29056,..,119,2474,3728,3917,4199,3102,1284,189,19013,..,1032,2430,1414,1094,819,397,90,7,7280,..,152,597,627,616,352,191,135,67,2742,12784,..,..,..,..,..,..,..,..,12784,..,1542,..,..,..,..,..,..,..,1542,..,1712,673,241,209,97,21,0,0,2963,..,469,215,137,186,268,218,135,57,1685,..,186,148,63,83,57,46,20,4,606,..,355,358,130,184,260,142,51,10,1487,..,463,851,667,1044,1564,1343,817,217,6963,272,383,316,206,236,346,387,126,24,2302,3,9,25,5,3,18,12,5,0,83,13062,6415,8074,7217,7586,7981,5868,2669,572,59445
RA34,..,106,58,17,20,8,4,0,0,218,..,116,115,28,34,59,30,10,0,404,..,152,236,182,263,463,413,281,147,2133,152,221,127,85,89,137,130,41,9,985,0,7,3,0,0,0,0,5,0,14,5048,2738,3281,2763,2701,2700,1666,750,241,21894,..,80,1352,2035,2262,2610,1687,668,113,10798,..,902,2141,1420,1147,667,258,48,4,6588,..,193,569,577,502,302,165,96,37,2434,10042,..,..,..,..,..,..,..,..,10042,..,877,..,..,..,..,..,..,..,877,..,1620,660,236,149,58,7,0,0,2732,..,621,310,138,217,308,203,96,34,1927,..,205,150,49,52,39,24,5,3,529,..,241,242,65,90,140,90,23,4,898,..,298,540,466,703,1055,949,553,199,4764,300,422,279,183,193,274,278,103,9,2038,0,7,7,0,0,0,0,5,0,18,10344,5469,6246,5169,5314,5456,3665,1603,400,43666
RA35,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
