SOS_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOS10,62831,56928,119758,165917,154240,320161,44353,43745,88100,28483,27913,56395,239175,226287,465456,105465,100096,205555,45616,45850,91469,35421,34812,70231,186815,181033,367845,10303,10488,20793,12725,18657,31382,21157,11028,32180,25640,40439,66080,302,283,584,70124,80890,151020,76724,89922,166646,27905,32831,60734,10582,12329,22911,25373,39401,64778,380,379,758,140959,174865,315822,211506,256204,467706,12315,11976,24295,15651,21495,37147,322,286,612,28286,33758,62049,149230,144466,293691,6758,7272,14029,884598,905948,1790544
SOS11,17595,16280,33868,44714,42270,86992,13195,13255,26449,6651,6587,13232,64651,62182,126833,30307,28892,59197,10749,11465,22219,6721,7059,13777,47819,47472,95296,2103,2382,4489,1705,3231,4934,7077,5025,12106,6652,12503,19153,111,94,201,17642,23229,40876,5149,9586,14733,2697,5043,7735,1284,2431,3713,5027,10480,15504,34,64,103,14187,27606,41793,31873,50888,82761,1397,1382,2780,2105,3833,5930,84,67,156,3586,5282,8867,56348,51945,108299,1339,937,2281,223210,234988,458201
SOS12,1536,1431,2967,4595,4229,8830,1025,982,2004,661,650,1309,6290,5867,12159,2950,2908,5859,953,1031,1986,785,752,1538,4693,4691,9384,118,178,297,110,210,321,679,386,1069,547,1045,1600,11,12,28,1470,1840,3310,402,689,1090,138,348,484,104,190,292,358,965,1328,5,10,11,1005,2204,3202,2481,4038,6520,121,99,221,180,326,511,5,6,17,306,441,748,5828,5494,11313,143,98,241,21274,22060,43330
SOS13,5392,5051,10446,15036,13590,28622,5543,5221,10763,3531,3260,6793,24132,22087,46213,10062,9676,19740,5261,5152,10409,4550,4667,9221,19888,19510,39406,601,751,1352,300,666,962,3094,1564,4660,1697,3370,5070,50,38,91,5746,6392,12133,2257,3679,5938,535,1180,1714,511,883,1391,1148,3312,4458,28,24,51,4473,9083,13554,10232,15485,25720,413,430,844,560,1120,1682,23,23,46,996,1575,2573,26038,21864,47906,490,411,907,87183,85979,173164
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
SOS20,56487,51596,108080,140250,130637,270883,39422,38339,77755,23193,24076,47273,203170,193321,396486,91391,84293,175683,34891,35940,70825,34029,34906,68934,160536,155346,315883,12333,10916,23247,12396,16593,28993,14936,6932,21864,20286,28540,48830,239,185,424,60196,63165,123364,69298,83700,152998,26968,33033,59999,8192,9906,18100,22072,36330,58403,301,330,635,126838,163304,290140,187350,226764,414112,11618,11130,22745,14600,21413,36011,293,281,574,26504,32825,59330,117023,112535,229556,5388,5842,11234,756457,778230,1534689
SOS21,11406,10535,21941,28830,26568,55398,10045,10183,20232,3368,3241,6608,42301,40039,82343,18522,17758,36280,7969,8529,16498,4375,4407,8782,30888,30726,61614,1505,1725,3228,1126,2244,3372,3890,2334,6221,3453,6041,9495,83,60,144,10052,12407,22462,3313,5781,9094,1417,3186,4602,625,1159,1779,2519,6068,8589,28,49,80,7896,16251,24147,17977,28698,46673,1271,1179,2452,1907,3199,5106,73,63,132,3243,4448,7689,30241,30416,60658,588,557,1145,136648,145409,282054
SOS22,920,897,1817,3020,2816,5836,540,497,1040,307,297,607,3871,3617,7488,1803,1827,3632,545,586,1129,477,437,916,2831,2849,5684,86,124,204,71,168,239,330,187,511,279,511,785,0,11,11,763,986,1749,250,458,707,121,255,370,45,118,159,189,556,739,3,6,9,605,1387,1988,1366,2374,3741,80,80,158,148,230,380,7,6,9,235,316,547,3708,3594,7308,85,71,155,13011,13721,26735
SOS23,3919,3553,7473,11480,10291,21773,3805,3804,7617,1811,1810,3619,17113,15921,33030,7590,7193,14777,3961,4134,8098,2959,3132,6087,14513,14462,28976,487,574,1055,215,544,757,1894,849,2743,1071,2022,3097,41,22,70,3714,4010,7725,1545,2644,4188,339,964,1298,269,508,776,730,2270,2999,15,31,43,2898,6410,9308,6623,10419,17047,410,354,772,516,1024,1538,32,33,66,965,1410,2378,19860,15272,35131,221,166,391,63210,61209,124422
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,49,384,0,0,0,337,49,389
SOS30,33455,30559,64013,104318,99131,203450,28619,27757,56373,20258,19849,40100,153449,147021,300471,74194,70230,144420,26610,25639,52250,26784,26729,53512,127783,122805,250590,6358,6446,12798,7110,11351,18465,8557,6943,15506,13969,24580,38554,135,151,286,36128,49475,85604,37656,51377,89040,16711,23347,40058,6188,8669,14859,17032,30108,47144,137,158,291,77721,113670,191395,114008,163348,277352,6054,6259,12310,9254,14164,23420,152,166,316,15458,20588,36045,97819,94438,192260,4961,4571,9530,546941,583334,1130271
SOS31,7054,6742,13795,28647,27200,55854,7844,7750,15596,4116,4147,8264,40678,39162,79846,21315,20225,41537,6742,6785,13527,4321,4547,8866,32411,31599,64012,1020,914,1932,792,1370,2156,2020,1838,3853,2614,5634,8253,47,37,82,6488,9789,16277,1810,3837,5643,1278,2954,4231,736,1549,2287,2593,6250,8846,19,31,41,6435,14616,21049,12943,24432,37374,1089,1167,2256,2159,3246,5403,46,50,94,3297,4457,7756,42400,34079,76482,1956,1159,3112,140740,141637,282378
SOS32,907,826,1731,4663,4459,9122,804,731,1531,459,465,921,5926,5655,11585,3019,2714,5729,614,672,1289,585,584,1170,4218,3974,8193,135,90,224,110,201,304,231,209,438,341,704,1042,9,14,22,829,1212,2044,221,462,688,153,321,471,60,157,218,244,735,978,0,8,13,684,1688,2367,1512,2902,4414,130,128,258,196,382,580,8,4,12,331,516,853,7464,6043,13506,281,181,465,20643,20090,40734
SOS33,2745,2438,5185,12492,11551,24041,3157,2981,6141,2333,2304,4638,17993,16849,34839,9223,8625,17851,3015,3006,6024,3082,3060,6141,15335,14702,30034,454,344,798,251,428,683,1042,731,1778,929,2143,3076,26,24,55,2703,3680,6385,1144,2310,3448,436,1142,1579,306,650,958,932,2484,3420,17,21,38,2838,6605,9441,5551,10281,15830,433,408,840,720,1226,1941,12,21,30,1156,1654,2811,30143,20033,50174,1207,563,1770,74129,66528,140655
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,29,228,17,10,24,210,42,257
SOS40,10582,9702,20286,35512,32720,68230,10462,10049,20510,7828,7772,15604,53876,50615,104489,19285,18002,37288,8899,9135,18029,8476,8552,17024,36695,35727,72426,2286,1771,4058,2703,3948,6652,2897,1964,4862,5269,7911,13179,69,53,124,13227,15637,28868,15953,20006,35960,7263,9013,16283,1957,2532,4487,5555,9244,14798,69,68,133,30807,40854,71654,44090,56565,100657,1926,1993,3921,2988,4369,7362,65,59,125,4980,6425,11405,23109,22625,45730,1146,1218,2365,174477,182877,357352
SOS41,2544,2427,4968,10080,9415,19496,2125,2179,4308,2407,2396,4803,14634,14011,28647,6029,5786,11816,1554,1678,3235,2007,2128,4134,9603,9596,19199,287,338,629,239,546,784,896,663,1556,1137,1940,3075,19,20,37,2577,3515,6086,987,1803,2787,463,1038,1498,234,391,625,754,1920,2672,4,11,21,2456,5150,7608,5035,8665,13706,227,304,534,490,908,1399,27,21,45,742,1237,1976,10192,8899,19088,610,198,814,43358,45032,88397
SOS42,346,356,700,1681,1599,3280,126,111,237,206,178,380,2012,1888,3901,1015,984,2001,98,108,205,163,170,328,1271,1270,2537,42,39,78,22,54,76,147,93,238,109,241,356,0,3,8,318,438,755,88,200,287,36,123,155,18,37,57,74,247,318,0,0,4,221,609,827,539,1047,1583,32,21,53,46,112,152,0,0,8,75,135,213,2074,1920,3993,20,17,42,6339,6629,12967
SOS43,950,911,1869,4607,4179,8785,773,728,1503,1159,1150,2307,6546,6057,12608,2878,2632,5511,484,419,901,1053,1075,2127,4412,4131,8546,99,83,181,75,153,226,457,213,665,368,685,1056,15,8,21,1006,1141,2149,473,931,1402,145,318,466,70,167,242,244,685,924,0,8,8,932,2104,3032,1935,3251,5187,106,98,201,150,288,442,7,10,15,263,397,661,7678,4849,12529,293,103,392,22090,19694,41783
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,7,0,7,12,0,12
SOS50,18644,17149,35790,62036,58278,120313,14171,14094,28266,11781,11645,23424,88132,84172,172303,40192,37390,77583,14824,14616,29443,15475,15243,30719,70573,67343,137919,4769,4503,9268,3849,6505,10356,5943,3475,9416,6630,11711,18340,92,89,181,21277,26284,47555,22063,28262,50319,8821,11621,20437,3661,4581,8239,8441,14098,22536,99,121,220,43079,58680,101755,64472,85087,149559,3084,3371,6458,5149,8039,13192,97,97,194,8335,11507,19842,43858,42321,86176,2636,2568,5203,296648,310142,606795
SOS51,3423,3293,6711,12587,11628,24211,2939,2843,5778,1808,1833,3643,17354,16329,33687,8870,8371,17243,2361,2519,4880,1615,1713,3328,12860,12620,25482,575,556,1131,345,736,1082,1372,891,2260,1337,2743,4083,33,14,41,3666,4932,8598,421,947,1372,394,987,1381,154,379,533,920,2286,3208,7,14,21,1892,4614,6506,5572,9568,15132,371,385,753,733,1227,1961,20,17,30,1117,1627,2746,21670,17201,38873,750,458,1208,62755,61089,123841
SOS52,455,421,876,1942,1779,3718,337,331,666,202,216,417,2484,2322,4802,1113,1111,2224,181,190,376,183,202,380,1471,1513,2985,51,73,124,28,62,98,138,69,210,122,285,413,3,6,4,345,496,841,42,79,123,43,101,139,18,28,47,94,264,363,0,0,4,200,478,677,539,976,1521,56,57,112,67,124,190,10,9,15,132,189,320,4755,3709,8464,84,115,194,9921,9240,19162
SOS53,1083,1039,2118,4338,3883,8223,1083,1058,2140,1066,971,2039,6489,5922,12410,2784,2565,5346,857,889,1743,1231,1213,2441,4872,4671,9541,239,204,450,103,174,280,578,268,850,501,811,1316,14,10,19,1440,1472,2906,389,628,1013,153,332,490,101,191,297,463,822,1284,3,0,9,1120,1972,3088,2554,3448,6003,154,158,312,242,396,639,5,4,11,402,562,962,24439,9080,33519,503,262,774,40348,24974,65319
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,5,6,3,9,22,0,21,0,0,0,30,3,32,3,0,3,5,0,5,0,0,0,21,5,27,0,0,0,33,5,36,60,10,69,0,0,0,8,3,7,0,0,0,8,3,7,1252,127,1379,143,16,164,1464,160,1629
SOS60,1343,1244,2588,5625,4963,10589,1628,1766,3392,863,870,1730,8127,7594,15720,3176,2921,6103,1426,1565,2988,1190,1150,2347,5797,5648,11444,457,429,887,1192,1216,2406,631,370,997,1167,1194,2356,14,18,32,3459,3231,6683,1823,2171,3990,1462,1695,3161,271,366,629,1103,1889,2994,10,11,18,4664,6123,10784,8130,9363,17492,466,490,952,446,682,1122,17,8,21,921,1179,2102,4752,4388,9142,312,165,476,29388,29581,58967
SOS61,1299,1244,2543,6776,6541,13316,1595,1511,3104,864,902,1763,9239,8959,18204,4370,4215,8587,1217,1285,2501,917,842,1756,6503,6353,12858,393,427,817,503,656,1158,757,479,1238,919,1198,2119,19,11,28,2585,2767,5357,828,1257,2088,636,929,1563,166,284,451,713,1364,2071,8,9,14,2342,3845,6193,4933,6631,11563,369,396,764,400,644,1044,6,10,23,781,1049,1834,5889,5897,11789,207,158,369,28855,30298,59151
SOS62,153,151,304,938,947,1887,145,142,290,102,108,205,1180,1200,2381,553,499,1052,118,168,283,115,119,233,789,777,1573,42,36,79,27,52,82,76,40,119,134,154,285,6,0,8,290,282,569,79,114,193,47,86,132,12,25,38,87,198,285,0,3,6,226,424,651,513,704,1216,37,30,71,29,75,103,0,0,0,64,110,173,1073,1003,2082,42,20,61,3822,3970,7795
SOS63,537,522,1062,3212,2948,6154,807,783,1596,543,519,1067,4569,4255,8822,1937,1875,3811,684,657,1338,563,535,1105,3185,3073,6262,156,159,312,112,138,245,445,214,660,397,508,900,13,13,18,1115,1028,2136,224,429,652,155,277,426,52,91,143,271,686,959,4,9,9,696,1494,2190,1808,2528,4332,138,160,303,126,264,387,7,6,22,278,432,703,3542,3145,6687,89,42,128,14008,13988,27998
SOS67,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,4,0,0,0,0,0,6,0,0,0,4,3,10,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,101,15,109,8,0,13,113,18,134
SOS70,1234,1181,2420,4165,3931,8097,648,651,1293,688,735,1420,5502,5330,10826,2426,2433,4867,677,650,1324,650,674,1327,3764,3753,7515,171,137,302,320,339,654,236,216,447,583,950,1534,4,10,15,1312,1649,2959,630,935,1567,805,1235,2043,214,327,541,944,1893,2835,8,11,19,2604,4404,6999,3921,6060,9977,347,359,704,338,629,963,4,9,14,694,992,1687,8105,6752,14858,2054,530,2586,25271,24600,49865
SOS71,499,412,906,1901,1698,3602,433,410,845,282,289,566,2616,2398,5021,887,844,1728,272,290,564,362,306,669,1522,1449,2966,30,18,44,55,55,113,68,55,119,187,277,465,3,5,6,342,411,750,41,104,146,104,206,312,26,67,90,318,602,918,4,6,10,488,986,1473,836,1396,2226,78,72,153,100,172,277,3,5,11,184,256,435,3019,2793,5813,88,91,174,8764,8787,17553
SOS72,264,251,514,1346,1199,2538,125,129,256,40,45,83,1515,1369,2881,523,525,1047,64,60,127,68,56,124,658,640,1297,4,8,20,9,18,26,15,10,25,61,82,143,0,6,6,86,122,211,3,18,20,20,35,55,9,16,25,69,159,226,0,0,0,94,226,325,186,350,537,22,28,48,28,39,63,0,0,0,42,71,114,1345,1258,2607,35,44,75,4045,3980,8027
SOS73,286,255,540,1347,1267,2612,136,146,280,191,198,393,1678,1610,3287,638,638,1274,118,120,236,229,205,443,981,967,1948,22,16,34,15,25,42,102,52,157,124,161,287,5,0,3,265,251,520,36,77,116,27,98,125,28,76,106,114,334,448,0,0,0,209,585,795,477,835,1312,32,30,64,40,88,132,6,3,10,78,118,201,4989,2987,7977,246,101,345,8735,6882,15620
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,7,0,0,0,3,0,9,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,135,19,151,12,7,17,154,19,172
SOS80,4585,4213,8804,12902,11984,24886,4494,4172,8663,2165,2259,4425,19581,18445,38025,8441,7710,16154,3631,3447,7079,2215,2412,4631,14302,13590,27895,726,670,1403,1078,1145,2220,1571,954,2524,2463,3216,5681,18,14,28,5857,5995,11856,7755,9229,16982,3202,3517,6717,1148,1486,2632,4229,5867,10092,30,28,62,16361,20125,36490,22249,26147,48395,1022,939,1958,1633,2096,3733,11,18,30,2669,3056,5720,9183,8306,17491,547,595,1151,73129,74356,147480
SOS82,6,10,17,21,6,35,10,11,20,9,7,12,36,26,62,6,7,11,14,13,24,7,7,15,33,26,56,0,5,5,0,0,0,3,0,6,5,8,9,0,0,0,7,9,20,5,4,8,5,0,3,0,0,0,0,4,10,0,0,0,13,12,24,19,24,40,0,4,0,0,0,0,0,0,0,0,3,0,14,15,25,0,0,0,106,104,207
SOS83,7,3,8,6,13,14,6,3,11,0,0,5,16,19,31,10,3,10,5,9,9,0,9,10,16,17,35,0,0,0,0,0,0,0,5,7,6,5,3,0,0,0,4,11,13,10,9,14,4,6,6,0,0,0,5,8,14,0,0,0,12,24,35,21,30,49,43,12,57,0,0,3,0,0,0,45,11,60,60,42,96,0,0,0,155,123,277
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,14,10,23,63,54,118,0,0,0,0,0,0,63,54,118,36,49,78,0,0,0,0,0,0,34,49,81,0,0,0,4,0,4,3,3,5,7,6,16,0,0,0,20,8,29,0,0,0,0,3,3,0,0,0,7,3,9,0,0,0,7,8,12,22,21,44,0,0,0,0,3,3,0,0,0,3,3,7,221,169,384,5,0,6,363,301,663
SOS92,23,21,44,93,97,187,0,0,0,0,0,0,95,97,190,63,54,114,0,4,3,0,0,0,66,56,122,5,0,3,0,0,0,9,9,11,7,16,18,0,0,0,23,18,42,4,6,8,3,4,6,0,0,0,9,14,28,0,0,0,18,26,45,35,53,83,3,0,3,6,3,11,0,0,0,13,7,13,204,197,397,8,3,16,437,429,864
SOS93,13,4,11,31,23,47,0,0,0,0,0,0,31,23,47,16,16,27,0,0,0,0,0,0,16,16,27,0,0,0,0,0,0,3,0,0,0,3,11,0,0,0,6,9,14,0,0,0,0,3,5,0,4,3,0,3,5,0,0,3,7,8,14,13,17,23,0,0,0,0,0,0,0,0,0,0,0,0,283,58,351,4,0,5,350,117,472
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
