SOSR_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Oth_lt_health_cond_0_14,M_Oth_lt_health_cond_15_24,M_Oth_lt_health_cond_25_34,M_Oth_lt_health_cond_35_44,M_Oth_lt_health_cond_45_54,M_Oth_lt_health_cond_55_64,M_Oth_lt_health_cond_65_74,M_Oth_lt_health_cond_75_84,M_Oth_lt_health_cond_85_over,M_Oth_lt_health_cond_Tot,M_No_lt_health_cond_0_14,M_No_lt_health_cond_15_24,M_No_lt_health_cond_25_34,M_No_lt_health_cond_35_44,M_No_lt_health_cond_45_54,M_No_lt_health_cond_55_64,M_No_lt_health_cond_65_74,M_No_lt_health_cond_75_84,M_No_lt_health_cond_85_over,M_No_lt_health_cond_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
SOSR101,270,748,2873,5968,11981,22078,28443,21536,8936,102825,28855,21879,22541,21187,16466,13444,10214,5482,1888,141947,402,522,1192,2138,3930,9184,14690,12092,4470,48631,19,40,54,73,220,612,1943,4765,4674,12404,542,1223,2822,8776,16143,28134,31837,19359,5544,114387,670,627,1042,2715,7765,18454,27910,22886,9742,91810,482,364,653,1176,1889,3203,4703,4380,2251,19099,385,284,475,880,1912,4454,7037,6407,2663,24497,6152,15481,20649,19066,19028,16065,9883,4892,2173,113385,104,114,214,544,1340,3195,5139,5120,2540,18309,17507,11577,13599,17685,21587,26233,22668,12798,5928,149591,361334,226210,285528,262038,192454,132063,68111,26596,6660,1560993,32254,23393,30547,26495,21973,17551,11517,7592,4420,175733,443422,295341,371633,354148,291570,247729,178179,97904,35578,2315505,360,1198,3864,8716,20830,39510,51775,41942,21699,189904,18316,20066,26407,25051,22463,19505,16366,9678,3945,161794,334,469,1423,3711,8448,12938,15099,10915,4735,58070,15,18,38,64,205,571,1916,6121,9457,18411,544,1291,3147,6720,12220,21689,25922,17630,6873,96024,524,547,901,1560,3515,8326,14939,15963,11343,57609
SOSR102,83,258,848,1960,4357,9054,12366,9556,3561,42035,8968,5950,5730,5686,4841,4403,3753,2327,692,42353,102,131,289,528,1177,3028,5477,4716,1603,17047,3,6,11,22,64,249,734,1889,1600,4577,165,369,655,1390,3304,6350,8900,6465,1714,29317,173,182,256,589,1981,5320,9191,8328,3332,29350,124,111,148,260,497,915,1661,1719,855,6283,111,99,156,283,860,2121,3404,3213,1219,11470,2818,6463,7282,7129,7412,6888,4488,2240,818,45524,40,40,78,134,443,1038,1888,2008,894,6551,5282,3396,3302,4113,5403,6984,6431,3832,1725,40471,72577,44660,44778,41007,37466,28950,17172,7164,1743,295518,7768,5651,5050,4894,5033,4384,3287,2279,1301,39644,95844,64477,64933,62944,63902,62271,52997,32466,11358,511183,104,415,1295,2923,7350,14573,20634,16842,8574,72712,6213,6380,7952,7869,7536,7592,7137,4343,1638,56661,88,138,344,968,2264,4053,5456,4272,1746,19330,10,11,7,19,47,171,682,2048,3187,6175,163,417,813,1359,2911,5163,7043,5457,2236,25559,141,142,221,404,1084,2770,5185,6144,4318,20423
SOSR111,17,54,214,430,858,1739,2348,1595,588,7844,1918,1026,1295,1166,941,808,775,381,104,8417,21,20,52,119,242,537,1031,805,291,3114,3,0,3,10,14,67,120,283,218,711,37,63,170,319,705,1120,1610,1054,258,5333,31,34,72,137,422,963,1749,1454,583,5434,26,25,27,47,84,162,270,297,142,1078,21,26,29,74,178,431,766,534,181,2237,690,1271,1578,1589,1499,1283,888,395,117,9310,8,9,14,30,87,184,343,351,140,1158,1208,620,684,784,1022,1170,1115,583,213,7387,14161,7792,8219,7243,6062,4640,2935,1204,271,52527,1769,1025,1078,981,941,806,542,387,207,7738,19317,11448,12575,11760,11158,10567,9418,5354,1745,93341,25,88,287,701,1521,2788,3855,2935,1397,13592,1399,1366,1759,1645,1543,1502,1413,793,292,11715,25,19,82,161,398,674,944,707,297,3308,0,0,3,16,17,41,140,336,437,982,44,88,206,331,665,1012,1280,943,336,4899,34,41,55,96,225,614,1034,1165,771,4035
SOSR112,46,155,512,1023,2184,4588,6639,5067,1849,22066,5095,3132,3100,2840,2432,2485,2258,1283,412,23033,47,81,157,253,527,1542,3059,2546,893,9109,6,8,9,9,37,115,435,987,838,2443,89,185,395,849,1817,3295,4658,3151,893,15329,114,114,178,358,962,2615,4763,4301,1847,15248,66,67,113,145,250,488,899,904,434,3368,89,56,95,214,485,1234,1988,1663,614,6442,1673,3509,3928,3609,3783,3530,2493,1195,480,24210,20,23,38,98,223,546,1008,1074,474,3504,2966,1732,1726,2010,2597,3389,3203,1913,898,20432,35763,20569,21612,17941,15995,13040,8697,3912,1066,138595,5073,3857,4327,3684,3379,2637,1916,1372,703,26951,49544,31761,34000,29998,29699,30023,27579,17160,6165,255932,51,228,673,1533,3571,7468,10828,8926,4592,37870,3715,3641,4392,4143,4037,4362,4218,2543,978,32025,56,71,181,442,1070,1944,2765,2249,960,9744,5,4,10,8,38,90,337,1162,1817,3469,87,239,501,840,1649,2905,3556,2716,1020,13511,93,106,184,224,612,1604,2773,3185,2329,11111
SOSR113,43,63,207,501,1050,2491,3573,2620,909,11456,2079,1234,1152,1104,1053,1151,1168,638,192,9773,14,31,45,110,243,709,1489,1215,426,4282,3,5,0,0,14,54,197,460,347,1093,42,97,145,306,776,1651,2441,1638,434,7535,42,52,71,141,452,1368,2500,2087,883,7597,27,22,35,54,128,248,467,462,236,1685,44,29,36,93,244,690,1083,850,295,3366,763,1408,1555,1556,1789,1796,1343,593,226,11031,3,10,19,40,100,272,503,539,245,1724,1214,687,643,850,1162,1728,1658,963,436,9341,15027,8327,8637,7574,7317,6378,4647,2063,498,60467,2360,1583,1727,1536,1445,1284,1047,647,280,11907,21011,12877,13469,12667,13455,14909,14687,8769,2850,114705,25,78,321,747,1777,3770,5420,4304,2150,18590,1513,1339,1714,1741,1799,1971,2020,1200,436,13746,17,21,73,170,471,890,1335,1025,450,4453,0,0,6,8,14,46,191,554,822,1638,32,85,177,386,788,1362,1935,1438,595,6807,44,39,66,117,301,721,1394,1619,1186,5480
SOSR114,23,70,239,527,1073,2513,3929,2966,1077,12415,2330,1366,1297,1226,1114,1299,1304,702,237,10881,20,31,56,118,299,804,1696,1492,541,5056,0,0,3,13,14,60,198,526,441,1258,50,103,162,337,861,1659,2685,1842,525,8230,52,49,67,161,491,1307,2748,2523,1038,8430,31,32,38,85,120,240,467,521,242,1771,42,38,34,71,231,675,1166,1069,338,3663,803,1288,1450,1539,1743,1767,1314,663,237,10806,11,3,16,43,95,280,551,576,283,1863,1370,645,642,871,1163,1743,1647,995,479,9553,18079,9473,9892,8694,8102,7128,5102,2378,589,69432,2597,1505,1646,1583,1503,1456,1246,783,371,12699,24715,13957,14775,14059,14552,16114,16064,10112,3490,127836,37,103,308,776,1756,3916,5871,4974,2502,20236,1688,1499,1931,1860,1817,2143,2236,1414,515,15097,17,28,87,210,418,983,1503,1171,514,4933,0,0,3,11,7,45,154,532,859,1609,48,100,207,367,712,1401,1966,1516,555,6865,28,40,73,144,274,744,1583,1787,1226,5893
SOSR115,34,88,301,649,1673,4088,6354,4402,1508,19093,3265,1761,1643,1737,1568,1876,1992,1077,340,15261,23,41,95,168,388,1284,2740,2013,627,7391,0,0,7,6,28,70,285,694,578,1678,67,115,172,428,1061,2565,4143,2682,649,11883,59,61,94,188,655,2193,4297,3675,1329,12550,40,29,57,82,175,413,703,760,291,2545,41,27,62,116,333,1031,1884,1456,476,5422,980,1721,1828,2168,2398,2671,2115,978,343,15201,4,8,26,38,163,445,841,832,372,2741,1627,931,906,1166,1718,2736,2822,1531,601,14029,24553,12936,12812,11844,11837,10826,8386,3554,762,97520,3800,2303,2215,2218,2271,2327,1996,1234,507,18869,33743,19197,19154,19205,21037,24867,25978,14829,4523,182530,35,132,446,995,2521,6077,8939,6928,3345,29416,2375,1907,2441,2508,2614,3147,3245,1924,646,20813,27,37,113,256,714,1521,2334,1700,653,7349,0,5,8,5,24,60,281,778,1200,2357,58,134,242,460,993,1934,2919,2206,787,9736,40,49,86,154,409,1167,2303,2512,1640,8364
SOSR121,11,30,81,172,455,1196,1708,1004,247,4900,873,488,382,471,475,562,566,257,72,4141,9,14,19,58,111,340,742,478,110,1874,4,5,3,3,10,16,65,133,78,307,22,29,44,104,290,668,978,641,134,2905,24,11,30,52,169,587,1105,813,230,3025,10,11,16,25,60,97,189,167,61,638,8,6,24,27,68,268,490,316,104,1310,295,463,480,568,674,770,581,199,43,4077,7,6,5,13,39,118,209,183,47,622,451,229,228,292,480,811,775,330,102,3706,6996,3569,3099,3302,3619,3340,2439,874,174,27413,914,526,474,512,543,582,567,276,121,4510,9373,5182,4589,5172,6170,7305,7149,3465,876,49285,14,34,113,273,747,1673,2237,1429,512,7025,706,517,581,684,766,862,840,435,104,5491,13,19,21,78,199,457,580,375,95,1838,0,0,0,3,4,22,53,115,145,344,8,31,53,120,276,507,721,452,145,2317,21,12,25,35,95,263,609,496,265,1818
SOSR122,9,14,39,105,244,774,970,548,136,2843,368,235,221,240,271,331,317,123,44,2159,0,4,5,22,51,212,379,269,70,1004,0,0,0,3,3,16,42,70,41,175,13,8,22,69,154,411,596,327,53,1657,8,13,12,29,131,378,664,455,132,1822,6,3,6,16,28,70,97,89,36,350,9,5,9,20,62,188,301,175,47,821,96,216,249,282,353,489,301,97,22,2102,0,0,0,3,18,69,132,108,42,386,207,119,123,146,272,498,397,183,44,1987,3369,1736,1619,1622,1889,1931,1285,466,85,14012,529,364,344,377,468,529,416,204,52,3281,4514,2632,2513,2693,3449,4513,4048,1935,435,26716,6,15,59,116,404,1005,1239,708,264,3813,262,238,288,316,387,512,463,208,43,2716,3,7,13,48,109,249,304,154,52,937,0,0,0,0,4,4,32,79,80,203,3,19,43,65,171,336,425,235,66,1360,9,7,15,19,75,194,316,250,141,1030
SOSR131,52,133,352,979,2718,6560,8819,4734,1196,25542,4146,2484,1932,2468,2900,3164,2839,1114,250,21300,56,58,102,244,707,2155,3925,2502,562,10314,11,0,4,6,29,97,328,612,322,1408,101,171,235,480,1665,3579,5067,2800,518,14621,101,92,110,245,1097,3575,5982,4062,1089,16353,77,64,56,99,250,527,897,725,255,2951,74,45,61,149,446,1443,2315,1427,367,6331,1209,2060,1970,2589,3450,3844,2583,893,177,18783,17,12,40,71,197,588,1055,841,280,3098,2152,1342,1129,1599,2871,4341,3989,1603,425,19452,40542,24294,17164,19638,24650,23875,15274,5102,824,171367,5682,4123,3714,4078,4776,5226,3949,1872,457,33876,53225,33965,25797,30672,41314,48497,41486,18403,3967,297322,56,174,487,1370,3880,8725,10407,5791,1825,32713,2851,2476,2546,3172,4062,4647,3644,1474,358,25226,47,34,125,420,1340,2493,2911,1452,366,9185,3,0,0,5,20,78,230,539,518,1401,80,145,239,462,1201,2448,2978,1770,435,9768,67,89,109,179,584,1575,2648,2055,933,8236
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,245,811,3115,6197,12257,21869,27917,22588,9972,104970,29023,23077,27876,25712,19624,15123,11577,6832,2389,161225,434,539,1288,2129,4249,9506,15648,13246,5189,52221,39,41,62,80,196,522,1732,4647,4703,12023,636,1338,3039,8738,15925,25511,29712,19578,6026,110501,804,607,1078,2580,7525,17696,27035,22937,10395,90659,535,366,687,1164,1868,3099,4566,4607,2421,19324,367,305,540,898,2022,4486,6998,6709,2956,25279,7048,18182,27489,24724,22677,18246,11260,6165,3058,138846,181,121,254,594,1546,3287,5471,5748,2967,20171,18142,12659,15063,18590,21963,25426,21182,12852,6343,152209,341365,217866,273308,243917,181508,122146,63990,25606,6628,1476345,29281,21687,28694,23905,20609,15810,10225,6748,3374,160330,421696,289057,368608,341215,284123,234672,170728,98203,36466,2244770,266,1308,4313,9239,22149,41354,55386,46451,24810,205267,18145,22706,33565,30503,26847,22517,19938,12271,5069,191566,324,455,1443,3613,8346,12819,15937,11698,5325,59976,19,18,46,61,164,485,1892,6283,10232,19206,545,1260,3262,6689,11858,19484,24172,17928,7919,93118,599,548,999,1491,3513,7938,14594,17094,12741,59502
SOSR203,34,115,433,772,1490,2734,3624,2773,1090,13060,3506,2525,2892,2459,1860,1730,1484,806,285,17551,32,62,98,196,420,983,1807,1525,566,5692,0,9,7,12,24,67,236,516,470,1334,60,155,324,655,1288,2163,2875,1825,595,9949,86,64,122,227,724,1826,3013,2541,1173,9784,46,43,70,88,156,278,441,482,251,1863,35,37,63,121,289,695,1100,936,400,3675,1252,2598,3378,3005,2871,2477,1650,737,332,18300,16,19,36,60,178,385,671,630,340,2337,2114,1384,1532,1618,1956,2315,2026,1221,554,14725,26724,16668,18954,14514,12308,9089,5625,2281,628,106785,3025,2220,2165,1727,1855,1572,1115,709,379,14769,35919,24658,28213,23187,21872,20240,17240,9973,3745,185044,41,200,586,1149,2645,5049,7001,5355,2781,24803,2363,3031,3912,3431,3021,2850,2652,1537,616,23405,31,50,144,372,772,1414,1828,1359,653,6647,0,8,9,4,21,60,231,622,1031,1983,61,158,351,615,1152,1937,2457,1785,768,9288,61,64,132,182,418,933,1851,1977,1536,7158
SOSR211,13,23,120,247,412,713,976,559,138,3206,1151,678,827,786,521,416,356,163,44,4948,9,11,32,54,100,226,425,287,72,1226,0,0,5,5,6,21,67,91,71,269,14,29,102,351,511,768,963,459,77,3270,32,26,38,99,225,492,853,499,148,2411,19,9,20,41,65,94,148,129,31,553,27,10,23,44,93,210,317,220,57,1007,376,633,838,825,763,624,428,177,51,4709,0,5,6,25,56,103,178,146,37,561,776,380,424,524,585,640,558,256,88,4227,10087,4939,6028,5369,3412,2157,1189,397,79,33671,1405,715,782,726,583,429,277,137,29,5079,13553,7111,8738,8318,6259,5094,4211,1906,470,55665,14,41,210,431,792,1349,1729,956,329,5854,862,747,1207,1076,894,832,649,298,71,6629,10,5,51,113,200,351,451,259,55,1489,0,3,0,0,5,18,41,94,112,281,25,43,157,298,436,661,763,372,116,2877,23,12,49,60,155,291,480,398,180,1649
SOSR212,20,56,259,512,1022,1921,2641,1967,726,9117,2504,1515,1602,1614,1341,1201,1003,509,178,11467,34,24,71,140,270,740,1329,1044,357,4006,4,5,6,3,10,47,161,342,273,860,36,106,212,368,875,1491,2153,1376,357,6974,57,49,76,133,523,1282,2200,1779,727,6830,32,26,45,60,103,212,323,373,188,1366,36,28,38,69,174,450,791,654,253,2497,680,1385,1764,1687,1813,1473,1059,506,199,10570,10,18,20,42,121,247,456,442,181,1529,1385,830,788,978,1260,1455,1459,792,351,9298,19576,10376,11508,10464,9180,7042,4142,1543,405,74238,2392,1475,1464,1460,1431,1222,895,647,372,11368,26141,15171,16910,16244,15895,14883,12667,7010,2505,127421,26,109,362,779,1817,3516,4767,3565,1818,16762,1717,1660,2310,2249,1955,1999,1828,1041,380,15138,20,26,80,225,526,934,1234,949,384,4375,3,3,5,4,12,53,164,388,565,1198,49,98,213,428,766,1307,1668,1139,478,6152,43,48,67,108,313,738,1328,1342,935,4923
SOSR213,17,69,231,502,1033,2108,3031,2293,897,10180,2287,1411,1563,1491,1272,1173,1046,677,205,11131,26,28,56,140,272,743,1336,1226,421,4247,0,0,0,4,14,45,151,394,331,946,46,102,175,395,849,1553,2254,1537,443,7357,50,38,62,151,467,1321,2272,2043,821,7227,37,32,42,63,114,205,401,357,186,1430,37,18,47,83,219,549,936,820,300,3014,783,1414,1651,1707,1750,1649,1184,561,242,10950,8,10,12,51,132,278,514,519,215,1747,1374,801,834,952,1238,1648,1503,935,430,9716,17327,9249,10044,8650,7841,6447,4380,1802,476,66207,2255,1320,1519,1352,1288,1077,882,589,322,10609,23632,13779,15282,14157,14178,14410,13311,8073,2871,119686,22,99,346,829,1894,3578,5185,4198,2123,18278,1515,1501,2113,2061,2003,1922,1863,1146,454,14590,26,27,96,199,485,944,1322,979,468,4552,0,0,11,0,16,48,148,475,678,1377,39,100,224,427,793,1346,1827,1357,555,6666,38,42,58,128,322,715,1330,1610,1128,5364
SOSR214,12,39,130,275,579,1300,2205,1796,660,6991,1157,748,784,713,645,738,762,473,151,6175,12,18,34,73,167,459,962,911,298,2915,0,0,5,4,10,39,123,298,243,729,15,55,87,182,465,975,1599,1198,332,4904,36,38,51,83,295,804,1675,1600,640,5222,27,12,19,25,48,130,244,284,124,909,13,8,27,36,130,380,636,598,211,2044,385,764,861,949,1008,1098,907,457,181,6606,16,10,8,18,53,178,353,378,169,1176,656,413,391,507,702,1034,1050,642,318,5709,8811,4977,5191,4452,4481,4052,3221,1401,351,36919,1194,653,705,698,710,768,695,514,244,6196,12009,7364,7734,7297,7925,9123,9796,6175,2142,69574,6,45,175,416,1090,2342,3698,2940,1495,12193,746,773,1028,1060,1171,1231,1361,835,302,8514,6,13,39,106,278,603,983,706,311,3046,0,0,0,4,4,25,115,313,509,978,19,37,80,195,417,813,1260,938,376,4132,15,19,37,66,173,473,948,1112,829,3671
SOSR215,23,50,211,426,944,2081,3133,2308,818,9986,1849,1115,1247,1203,1106,1162,1116,676,189,9651,28,26,55,119,247,712,1487,1218,350,4236,0,0,4,9,14,47,170,357,315,914,38,68,160,266,664,1381,2246,1456,393,6678,52,29,79,145,408,1284,2461,2011,750,7212,27,19,29,58,108,204,363,368,177,1345,37,17,28,65,189,581,999,798,266,2977,577,1016,1254,1369,1529,1585,1264,585,188,9358,10,9,19,23,104,252,476,493,235,1623,1010,580,626,789,1079,1514,1565,849,365,8383,15424,7520,7992,7506,7452,6943,4834,1890,504,60073,1954,1140,1100,1171,1213,1249,1086,655,293,9861,20586,11079,12052,12077,13082,14750,14478,8081,2661,108840,22,74,295,607,1562,3457,5025,3742,1889,16677,1360,1090,1661,1677,1646,1902,1886,1067,379,12676,16,22,46,184,432,963,1361,983,405,4411,3,8,4,9,8,36,145,454,720,1377,32,69,160,298,663,1186,1620,1211,490,5730,45,20,65,86,220,684,1364,1461,1015,4958
SOSR221,13,15,48,123,296,687,1053,652,199,3076,519,261,253,359,340,354,379,183,46,2689,11,9,5,29,63,217,470,315,86,1210,5,0,0,0,3,10,27,70,82,204,16,26,31,64,201,447,685,371,74,1909,7,7,8,34,118,417,781,539,191,2107,11,0,7,15,25,55,131,92,27,356,4,7,8,26,52,185,314,229,60,889,151,266,295,385,445,533,411,148,40,2676,9,0,0,13,34,81,140,110,43,440,261,132,133,181,323,536,463,216,83,2327,4057,2003,1960,2053,2101,2172,1512,547,96,16503,465,280,233,299,345,391,378,194,96,2677,5384,2870,2835,3263,3765,4751,4604,2248,640,30362,8,30,66,176,509,1095,1466,888,413,4646,331,260,393,402,509,583,547,252,82,3364,0,0,15,41,115,257,343,216,70,1075,0,0,0,0,4,8,32,94,127,267,9,24,35,84,155,349,444,250,107,1443,5,7,12,30,63,199,339,318,222,1195
SOSR222,4,8,41,68,171,412,559,300,85,1648,301,169,183,177,186,226,226,63,16,1558,9,4,7,15,47,142,253,135,44,651,0,0,3,0,0,7,18,29,26,94,5,9,16,32,107,255,358,186,43,1012,10,0,5,21,65,252,431,230,76,1088,5,0,0,4,13,23,58,40,24,173,3,6,8,10,40,112,206,97,29,518,88,153,202,202,262,311,232,62,11,1523,0,0,5,6,15,48,79,64,28,237,153,117,82,96,199,270,246,115,27,1305,2242,1312,1299,1239,1386,1354,826,288,54,10002,358,307,251,214,275,322,243,103,32,2103,3105,2016,1999,1924,2445,2933,2557,1105,291,18367,5,20,36,102,290,627,730,448,177,2428,189,207,214,279,260,365,270,131,29,1941,3,5,12,27,75,147,191,109,37,596,0,0,0,0,0,0,11,34,54,101,4,13,14,38,78,183,230,121,40,726,5,4,10,15,48,111,175,144,105,606
