SOSR_CODE_2021,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
SOSR101,423157,856230,9563,56508,58633,275097,11796,56364,327234,1265952,407228,1653923,34108,149523,55579,197440,108783,364077,198474,711039,605701,2364957,2602,12688,12057,42563,5102,19147,58920,157107,78687,231512,8915,30229,21046,48819,74859,170452,104827,249506,183509,481018,21788,46655,1234155,3748859
SOSR102,113105,227036,1929,10722,10861,50011,3355,15429,62035,241197,78185,317359,5877,24836,8958,30794,23223,75068,38066,130694,116245,448054,673,3119,3328,11311,1981,7215,18848,49802,24831,71443,1983,6280,4558,10057,20304,44485,26850,60821,51679,132265,4212,8785,285246,816142
SOSR111,20633,41281,365,2018,1987,9241,720,3345,11816,45985,14888,60589,879,3664,1334,4436,3741,11893,5952,19990,20844,80575,141,651,731,2558,433,1581,4345,11720,5657,16513,322,1033,794,1747,3378,7362,4491,10144,10147,26659,784,1654,52406,150165
SOSR112,57062,114194,1001,5718,4803,22488,1751,8246,28415,111413,35971,147860,1952,8202,3422,11283,9064,28772,14437,48257,50405,196112,397,1895,1798,6428,1177,4380,11363,31318,14735,44024,802,2519,2057,4423,9207,19963,12061,26898,26802,70929,2120,4442,136394,385678
SOSR113,27520,54984,383,2128,1876,8718,821,3839,11380,44627,14458,59312,791,3285,1317,4315,4222,13349,6333,20944,20791,80252,192,923,813,2908,638,2344,5272,14603,6915,20772,337,1069,862,1814,4593,9971,5789,12852,12711,33625,937,1961,61951,170832
SOSR114,30730,61464,415,2340,2299,10632,868,3998,14366,56555,17952,73526,919,3801,1461,4783,4577,14462,6955,23051,24915,96573,175,794,843,2947,563,2120,5310,14937,6889,20799,374,1181,925,1975,4541,9741,5844,12895,12735,33691,1007,2128,69379,193852
SOSR115,46119,92058,613,3447,3175,14770,1278,5898,19284,76157,24345,100272,1314,5491,2144,6990,6789,21451,10248,33930,34597,134195,258,1160,1200,4218,765,2753,7041,19454,9263,27587,473,1510,1281,2728,6215,13405,7967,17640,17235,45224,1340,2828,99291,274304
SOSR121,12489,24960,216,1234,1004,4675,424,1970,5399,21605,7043,29480,432,1810,742,2475,2232,7039,3416,11324,10462,40805,61,297,281,1018,190,721,1640,4561,2162,6593,129,409,309,677,1506,3250,1947,4335,4115,10930,290,618,27359,77303
SOSR122,6259,12477,92,536,395,1831,197,898,2426,9665,3113,12931,188,791,286,919,1104,3450,1573,5162,4686,18090,19,99,156,546,109,395,807,2243,1090,3285,63,201,164,346,796,1724,1025,2273,2109,5555,199,409,13249,36531
SOSR131,72516,145113,1562,8744,7100,33313,2552,11961,30532,124974,41742,178988,3621,15215,5240,17240,15332,49093,24191,81553,65939,260539,251,1217,1069,3769,632,2300,5881,16191,7829,23483,522,1674,1245,2678,7095,15439,8860,19788,16692,43270,1380,2908,156531,451824
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,426935,860281,8060,47662,56598,262965,9163,43097,319188,1226137,393006,1579857,32303,140145,55292,196293,97703,322693,185297,659130,578308,2238987,2267,11090,12792,43820,4330,15805,58247,150760,77631,221476,9525,31521,22581,51844,71364,159776,103467,243144,181096,464619,22149,47081,1208493,3610972
SOSR203,39549,79096,617,3480,3801,17666,947,4321,23270,90308,28635,115773,1775,7551,3241,10991,6669,21300,11686,39832,40318,155611,299,1378,1446,4907,694,2528,7453,19769,9901,28578,700,2251,1766,3872,6692,14598,9164,20716,19064,49298,1704,3540,100639,287537
SOSR211,9440,19087,308,1960,1193,5930,395,1904,8383,33151,10279,42944,532,2332,708,2429,1984,6495,3224,11260,13499,54204,144,757,505,1914,254,945,2698,7595,3602,11208,220,769,467,1034,2010,4450,2700,6249,6300,17456,471,1018,29716,91764
SOSR212,27903,55751,538,2996,2920,13593,744,3466,16502,64599,20698,84653,1412,5952,2119,7140,5050,16223,8580,29322,29278,113971,177,815,950,3295,475,1707,4962,13352,6563,19169,530,1656,1043,2251,4213,9214,5786,13119,12349,32284,963,2022,70491,204030
SOSR213,28131,56226,468,2608,2401,11201,694,3161,14632,57330,18202,74303,1204,5109,1786,5990,4686,14937,7672,26038,25875,100337,188,854,879,3042,443,1613,4883,13358,6394,18864,409,1316,1078,2341,4192,9107,5678,12767,12075,31627,906,1882,66984,190070
SOSR214,18492,36851,219,1201,1201,5625,338,1532,7314,28809,9071,37168,610,2560,884,2926,2656,8345,4150,13831,13217,50999,98,416,458,1594,250,901,2502,6732,3309,9647,246,785,545,1212,2622,5636,3412,7635,6722,17278,519,1090,38951,106217
SOSR215,27098,54037,382,2147,2154,10063,640,2949,12787,50524,15961,65688,956,4041,1574,5205,4122,13135,6653,22381,22618,88069,125,547,694,2409,341,1201,3738,10061,4892,14218,329,1042,772,1668,3485,7457,4585,10167,9482,24383,813,1702,60017,168198
SOSR221,7997,15919,109,631,645,2972,157,731,3415,13549,4332,17892,252,1029,435,1452,1165,3694,1855,6168,6185,24062,19,81,145,490,78,284,831,2241,1072,3100,75,232,185,393,872,1855,1137,2479,2210,5578,192,399,16577,45958
SOSR222,4130,8218,43,240,330,1521,98,449,1715,6703,2180,8913,147,609,232,768,678,2099,1049,3468,3234,12382,15,62,90,310,40,138,482,1309,627,1815,29,85,107,219,514,1090,648,1397,1276,3213,108,219,8750,24034
SOSR231,55871,111596,1075,6034,5346,25104,1415,6499,23231,94104,31067,131743,2855,11976,4391,14715,11472,36617,18726,63307,49784,195049,150,687,729,2490,388,1392,3820,10212,5087,14786,422,1330,971,2122,4981,10810,6378,14260,11459,29040,1045,2185,118159,337869
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,223328,448778,4582,27084,26955,125739,6413,30229,153438,592942,191381,776004,12407,52984,23955,83164,42390,136603,78759,272752,270139,1048760,1617,7995,7635,26268,3614,13460,41347,109764,54205,157481,4033,13003,10551,23565,34147,75309,48727,111867,102931,269351,11446,24092,607846,1790986
SOSR302,102059,204243,1379,7615,9549,43347,2642,11946,53773,205857,67345,268765,4304,17914,8475,28486,16288,51748,29063,98143,96409,366914,474,2156,2852,9458,1329,4665,15705,40275,20365,56552,1515,4793,4271,9478,14128,30585,19915,44854,40283,101406,3329,6901,242077,679464
SOSR303,44325,87850,846,5055,4367,20316,1351,6308,24863,95685,31425,127364,1586,6575,3372,10925,6490,20259,11449,37757,42877,165129,372,1843,1749,6056,953,3537,9743,26173,12817,37604,703,2272,1842,3996,6575,14283,9127,20552,21945,58155,2024,4237,111168,315374
SOSR311,28886,57252,444,2467,2463,11236,993,4547,13477,52000,17375,70245,915,3702,1588,5052,4444,13836,6945,22591,24320,92839,203,946,928,3231,602,2177,5680,15638,7410,21988,329,1042,916,1992,4309,9356,5552,12392,12966,34382,1147,2374,67315,186846
SOSR312,12451,24760,195,1099,842,3855,379,1751,4795,18600,6204,25309,327,1378,645,2073,1661,5133,2643,8581,8847,33893,69,327,361,1277,217,800,2199,5986,2842,8384,128,410,401,856,1827,3913,2353,5181,5193,13566,372,769,26863,72983
SOSR313,17373,34281,334,1839,1696,7968,604,2780,10011,39407,12640,51992,568,2287,1009,3177,2434,7508,4006,12981,16650,64970,129,604,576,2076,422,1659,3883,11015,5006,15353,206,652,546,1183,2285,4937,3031,6770,8040,22123,592,1260,42655,122633
SOSR314,17640,34996,311,1780,1799,8348,643,3018,9996,39381,12754,52530,621,2533,1140,3641,2830,8866,4594,15042,17343,67572,120,555,593,2167,376,1406,3436,9642,4528,13769,223,712,549,1187,2380,5151,3146,7047,7676,20818,642,1368,43309,124750
SOSR315,29585,58835,495,2827,2348,10995,1016,4880,13750,54440,17611,73144,861,3572,1483,4763,4367,13724,6707,22059,24323,95207,175,830,803,2910,647,2508,5116,14568,6745,20810,310,997,707,1545,3730,8137,4745,10675,11487,31493,936,2017,66332,187553
SOSR321,12104,24016,192,1079,949,4428,387,1844,5047,20064,6572,27415,333,1379,559,1772,1869,5789,2766,8932,9338,36349,75,351,259,949,260,1045,1801,5242,2391,7585,93,291,244,543,1467,3214,1807,4039,4196,11627,395,867,26034,72855
SOSR322,5611,11101,60,343,306,1414,181,904,1983,7941,2528,10607,104,415,209,663,697,2151,1012,3228,3543,13832,39,199,119,425,103,438,945,2695,1210,3756,36,108,82,171,658,1462,773,1742,1987,5501,178,378,11311,30815
SOSR331,57703,114615,1038,5746,5357,24369,1846,8520,23991,95845,32232,134485,2271,9198,3927,12542,11124,34724,17314,56463,49545,190951,165,780,903,3236,558,2116,5027,13845,6653,19977,337,1087,955,2090,5368,11659,6668,14837,13328,34814,1162,2444,121738,342828
SOSR379,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SOSR401,128448,257149,2154,12539,13695,62924,2817,12824,76290,291495,94961,379782,7616,32344,13188,45748,25942,83720,46746,161808,141701,541590,709,3367,3974,13486,1852,6487,20767,53364,27308,76696,2505,8039,6227,13838,22315,48668,31047,70545,58358,147244,6124,12829,334633,958810
SOSR412,10806,21476,182,1027,1050,4764,309,1395,5554,21492,7093,28676,484,1999,742,2450,1857,5881,3081,10329,10181,39002,83,382,389,1305,212,768,2166,5649,2852,8104,199,607,487,1060,1691,3636,2378,5306,5230,13410,352,732,26575,74620
SOSR413,11251,22273,155,862,864,3972,278,1247,4445,17150,5743,23231,317,1268,686,2252,1647,5099,2637,8619,8380,31852,64,298,326,1139,185,634,1834,5053,2405,7130,105,324,340,757,1534,3281,1986,4363,4390,11491,357,749,24377,66368
SOSR414,4550,9035,44,258,293,1363,88,388,1641,6353,2066,8368,126,532,204,645,557,1728,887,2903,2949,11272,23,101,99,308,47,166,517,1327,681,1904,53,161,123,274,462,976,640,1411,1320,3311,87,184,8911,23794
SOSR415,15208,30142,224,1178,1089,5064,315,1420,6222,24373,7847,32039,482,1974,787,2546,2074,6491,3344,11011,11188,43043,57,254,326,1154,194,683,2008,5385,2586,7475,167,509,386,828,1611,3402,2163,4731,4748,12213,382,801,31525,86200
SOSR421,4314,8514,51,295,299,1366,87,382,1671,6642,2106,8690,145,581,230,729,530,1637,902,2946,3007,11638,19,86,84,279,34,109,452,1232,586,1706,41,127,96,199,385,805,523,1131,1104,2834,93,202,8517,23185
SOSR422,2692,5291,34,182,142,650,71,354,863,3387,1113,4574,45,177,88,267,357,1105,493,1551,1606,6126,9,45,40,146,45,186,311,852,401,1229,28,81,47,101,270,578,345,763,752,1985,79,193,5131,13597
SOSR431,19355,38318,345,1861,1909,8624,473,2185,8043,32432,10769,45100,887,3593,1350,4334,3717,11649,5954,19569,16722,64665,40,177,246,842,120,420,1284,3505,1692,4952,143,464,308,627,1538,3284,1986,4378,3680,9326,350,750,40106,113062
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,205986,406124,4059,23000,24368,111084,6066,27279,141617,539082,176105,700451,12819,53432,21891,75151,41043,129545,75755,258127,251858,958581,1182,5498,5958,20304,2867,10304,32190,84093,42203,120196,3744,11842,8472,19148,29167,62997,41381,93981,83590,214177,8990,18897,550426,1597778
SOSR511,8198,16065,159,847,874,3903,316,1384,4722,18152,6067,24279,343,1361,544,1682,1318,4031,2200,7078,8268,31358,49,214,273,902,161,581,1595,4262,2080,5956,123,371,264,552,1051,2207,1436,3133,3519,9087,237,498,20221,57014
SOSR512,13183,25901,239,1350,1149,5223,465,2104,7081,27441,8936,36114,443,1748,736,2265,2029,6217,3201,10235,12137,46352,74,348,394,1349,276,992,2268,6222,3009,8910,153,474,377,801,1661,3520,2194,4797,5210,13706,435,900,30964,86860
SOSR513,5732,11083,131,706,697,3130,255,1142,5169,20166,6258,25142,189,758,348,1025,866,2633,1408,4416,7661,29556,44,194,199,703,131,476,1229,3413,1603,4790,55,168,172,366,648,1408,877,1934,2475,6721,214,470,16089,47829
SOSR514,3033,5928,44,229,264,1140,104,456,1812,6925,2225,8755,93,369,177,533,376,1138,646,2037,2868,10789,22,103,123,380,60,235,545,1425,747,2149,33,115,92,204,397,840,530,1157,1279,3307,81,166,7262,20194
SOSR515,9989,19464,154,856,815,3690,347,1602,5615,21797,6929,27944,280,1122,463,1377,1327,4030,2069,6524,8995,34471,47,199,249,853,206,765,1617,4473,2119,6297,104,331,233,484,1134,2439,1467,3246,3586,9548,299,640,22870,64125
SOSR521,4170,8194,60,353,279,1251,155,727,1906,7450,2401,9781,97,413,167,485,568,1710,836,2610,3238,12390,34,190,99,368,113,452,725,2080,974,3094,42,129,94,201,552,1208,694,1536,1666,4627,176,395,9251,25614
SOSR522,2316,4560,32,192,163,765,119,618,1091,4370,1401,5951,43,169,69,189,291,938,397,1295,1800,7244,18,79,57,212,75,313,432,1332,582,1934,20,52,55,105,328,774,397,932,984,2868,118,278,5217,14950
SOSR531,19878,38997,358,1942,1746,7452,628,2768,8340,33197,11078,45362,870,3400,1268,3853,3628,11095,5767,18348,16840,63710,36,199,245,809,168,636,1399,3800,1847,5447,100,315,268,562,1517,3245,1881,4120,3732,9569,375,799,40824,113080
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,21554,43147,294,1632,1852,8440,472,2138,11282,42354,13904,54570,863,3544,1661,5503,3398,10803,5928,19853,19832,74418,136,591,730,2403,342,1212,3883,9980,5088,14189,344,1049,1004,2178,3302,7148,4649,10376,9737,24568,904,1896,52028,144026
SOSR611,8739,17442,152,843,784,3599,225,1039,4360,16633,5520,22108,319,1311,627,2069,1374,4369,2318,7750,7838,29861,42,189,312,1045,143,516,1801,4661,2298,6412,136,422,391,851,1411,3060,1937,4336,4235,10748,365,769,21174,58823
SOSR612,5171,10301,70,385,375,1714,141,614,2212,8474,2797,11190,175,711,320,995,777,2413,1265,4119,4060,15310,37,167,199,673,113,405,1181,3157,1526,4405,78,245,206,448,855,1803,1139,2497,2665,6898,177,373,12084,32883
SOSR613,1653,3292,16,81,119,561,36,178,582,2205,759,3024,45,197,93,289,257,793,392,1279,1151,4300,14,53,37,129,18,72,261,655,333,916,21,72,73,152,248,508,343,735,675,1644,42,94,3519,9330
SOSR614,2047,4069,25,137,145,659,71,332,826,3176,1063,4312,54,231,84,260,329,1012,470,1504,1533,5815,13,64,75,276,42,154,402,1084,537,1583,40,115,63,117,317,686,413,914,951,2501,69,140,4599,12520
SOSR615,8480,16880,125,716,582,2689,205,921,3381,13039,4288,17360,258,1060,357,1131,1208,3768,1823,5961,6114,23323,50,217,241,835,130,438,1323,3483,1740,4965,91,288,239,499,1072,2282,1407,3064,3148,8037,222,454,17956,48700
SOSR621,3022,5957,29,147,208,938,94,413,1147,4388,1483,5894,79,322,162,507,421,1281,654,2111,2133,8001,13,53,67,222,37,121,357,955,465,1352,28,77,55,117,301,643,386,834,850,2182,65,132,6075,16279
SOSR622,1348,2659,14,59,83,379,33,137,418,1618,544,2197,44,167,51,161,214,656,314,986,855,3186,0,8,21,72,10,32,130,357,167,470,9,31,34,74,141,291,189,401,351,869,23,51,2584,6764
SOSR631,14994,29777,253,1396,1175,5425,414,1922,5942,23223,7777,31968,563,2283,903,2869,2680,8413,4145,13572,11923,45533,40,185,249,842,124,471,1245,3246,1665,4746,117,340,280,595,1317,2829,1720,3767,3379,8513,249,519,30550,84338
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,10978,21493,228,1300,1227,5634,401,1834,8580,32282,10440,41047,414,1716,870,2764,1756,5563,3033,10044,13475,51096,67,335,333,1183,220,816,2364,6248,2987,8589,155,481,393,854,1500,3291,2053,4631,5035,13222,533,1137,30033,86944
SOSR712,2139,4264,48,291,219,988,96,491,1685,6514,2050,8284,60,215,156,473,317,986,531,1672,2579,9960,22,99,74,251,75,306,530,1478,700,2142,26,77,72,156,322,753,413,987,1116,3131,123,280,5955,17633
SOSR714,468,935,7,47,43,201,36,174,361,1415,439,1846,9,34,15,54,55,169,78,254,524,2100,3,10,15,57,19,80,152,446,187,595,5,20,15,29,79,175,96,226,283,816,33,74,1301,3921
SOSR715,883,1873,86,628,137,757,234,1506,1089,4484,1552,7381,31,161,42,146,254,992,331,1300,1883,8681,19,125,50,213,147,803,461,1428,682,2570,14,65,24,62,264,722,300,850,984,3418,114,325,3860,14296
SOSR721,780,1677,39,253,78,419,156,947,764,3176,1036,4789,23,110,32,96,179,694,231,909,1264,5691,18,92,35,137,93,477,328,1003,468,1708,14,38,20,51,214,605,248,693,720,2400,86,241,2847,10011
SOSR722,688,1461,34,208,53,310,188,1103,716,3038,996,4667,11,49,10,40,149,587,177,679,1176,5348,16,97,29,133,98,524,365,1148,510,1905,6,8,12,29,234,682,256,717,762,2623,99,258,2720,9684
SOSR731,3006,6014,74,477,284,1323,256,1467,1996,7989,2611,11256,109,427,149,470,613,2025,868,2928,3477,14179,20,112,53,186,102,533,515,1536,687,2368,32,95,48,101,406,1009,485,1202,1177,3576,128,303,7792,24072
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,46948,94193,660,3663,5259,23827,935,4232,32670,124857,39527,156579,2367,9949,4802,16502,7424,23909,14601,50359,54131,206934,224,1037,1284,4073,405,1407,6520,16068,8434,22586,715,2240,1888,4120,5575,12131,8183,18491,16611,41083,1768,3720,119459,345921
SOSR822,66,133,0,4,14,79,0,4,46,181,66,262,7,19,5,19,15,56,27,99,92,368,0,0,0,3,0,3,3,15,12,28,0,0,0,4,4,18,7,22,19,46,0,0,178,546
SOSR831,51,103,0,6,6,18,0,8,25,112,34,145,5,8,5,15,12,28,14,48,45,195,0,0,0,4,0,0,7,32,8,34,0,0,0,7,5,7,9,9,19,50,3,9,116,354
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,114,226,3,10,15,64,0,5,102,390,118,468,6,23,0,13,22,68,33,105,149,575,0,0,4,9,0,5,9,28,14,41,5,8,6,7,11,17,18,33,34,76,0,4,294,877
SOSR921,229,457,0,0,8,43,7,34,77,300,90,377,0,13,10,33,20,63,32,106,127,482,0,6,9,21,0,8,35,80,40,108,0,4,3,5,18,38,23,45,64,152,11,18,425,1107
SOSR922,76,167,4,13,8,22,3,24,51,208,62,268,0,0,4,5,17,56,22,64,83,332,0,0,0,10,3,15,5,11,11,27,0,0,0,0,6,12,6,12,15,40,0,0,179,535
SOSR931,73,139,0,0,5,22,4,15,29,123,41,162,6,15,0,12,12,26,18,48,54,209,0,0,3,3,6,11,6,24,10,43,0,0,0,4,16,33,13,38,27,86,10,26,159,463
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
