UCL_CODE_2021,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
UCL415045,96,9,8,3,0,0,5,110
UCL415046,208,29,14,0,0,0,3,259
UCL415047,263,16,13,5,0,0,0,301
UCL415048,248,24,19,0,0,0,0,294
UCL415049,174,24,9,4,0,0,5,212
UCL421001,62,6,3,0,0,0,0,70
UCL421002,30,0,0,0,0,0,0,31
UCL421003,97,10,6,0,0,0,0,116
UCL421004,50,4,4,0,0,0,3,65
UCL421005,50,0,6,0,0,0,0,62
UCL421006,85,4,8,0,0,0,0,98
UCL421007,38,0,3,0,0,0,0,41
UCL421008,60,10,3,0,0,0,0,71
UCL421009,61,6,4,0,0,0,0,70
UCL421010,79,3,5,0,0,0,0,91
UCL421011,24,5,4,6,0,0,0,29
UCL421012,34,6,0,0,0,0,0,43
UCL421013,120,9,7,0,0,0,0,139
UCL421014,73,7,0,0,0,0,0,85
UCL421015,39,6,4,3,0,0,0,54
UCL421016,70,3,0,0,0,0,0,79
UCL421017,56,0,11,0,0,0,0,70
UCL421018,83,4,7,0,0,0,0,100
UCL421019,42,0,0,0,0,0,0,44
UCL421020,40,6,0,0,0,0,0,51
UCL421021,42,3,0,0,0,0,0,51
UCL421022,110,12,0,0,0,0,4,123
UCL421023,70,7,5,0,0,0,0,83
UCL421024,41,5,6,6,0,0,3,52
UCL421025,49,3,3,0,0,0,0,61
UCL421026,48,5,0,0,0,0,0,53
UCL421027,41,9,4,0,0,0,0,52
UCL421028,83,5,7,0,0,0,0,91
UCL421029,36,0,0,0,0,0,0,44
UCL421030,31,4,0,0,0,0,0,34
UCL421031,37,0,0,0,0,0,0,44
UCL421032,47,3,6,0,0,0,0,61
UCL421033,36,0,3,5,0,0,3,48
UCL421034,65,7,8,0,0,0,0,81
UCL421035,38,9,0,3,0,0,0,45
UCL421036,128,20,9,3,0,0,0,155
UCL421037,77,0,0,0,0,0,0,79
UCL421038,108,14,9,0,0,0,0,130
UCL421039,84,5,4,0,0,0,0,92
UCL421040,65,7,9,0,0,0,0,85
UCL421041,36,0,7,0,0,0,0,49
UCL421042,44,11,6,0,0,0,0,57
UCL421043,47,3,0,0,0,0,0,51
UCL422001,35,0,3,0,0,0,0,41
UCL422002,31,0,0,4,3,0,0,46
UCL422003,9,0,0,0,0,0,0,14
UCL422004,15,5,0,0,0,0,0,15
UCL422005,17,0,0,0,0,0,0,17
UCL422006,22,0,0,0,0,0,0,30
UCL422007,9,7,0,0,0,0,0,14
UCL422008,37,5,6,0,0,0,0,44
UCL422009,17,0,0,0,0,0,0,17
UCL422010,40,4,3,0,0,0,0,45
UCL422011,7,3,0,0,0,0,0,16
UCL422012,38,3,3,0,0,0,0,51
UCL422013,42,7,0,0,0,0,0,47
UCL422014,25,0,0,0,0,0,0,25
UCL422015,11,4,0,0,0,0,0,18
UCL422016,12,6,0,0,0,0,0,12
UCL422017,10,0,0,0,0,0,0,13
UCL422018,12,4,0,0,0,0,0,17
UCL422019,13,3,4,0,0,0,0,23
UCL422020,27,3,0,0,0,0,0,31
UCL422021,21,0,0,0,0,0,0,19
UCL422022,25,0,4,4,0,0,0,34
UCL422023,15,0,0,0,0,0,0,16
UCL422024,23,0,0,0,0,0,0,23
UCL422025,20,4,0,0,0,0,0,25
UCL422026,57,0,5,0,0,0,0,65
UCL422027,4,0,0,0,0,0,0,4
UCL422028,23,0,0,0,0,0,0,27
UCL422029,23,0,4,0,0,0,0,33
UCL422030,16,0,0,0,0,0,0,18
UCL422031,21,0,3,0,0,0,0,27
UCL422032,40,3,5,5,0,0,0,47
UCL422033,23,0,0,0,0,0,0,23
UCL422034,21,0,0,0,0,0,0,30
UCL422035,50,5,3,6,0,0,0,60
UCL422036,31,0,3,0,0,0,0,33
UCL422037,25,0,5,0,0,0,0,30
UCL422038,16,0,0,0,0,0,0,22
UCL422039,16,3,0,0,0,0,0,16
UCL422040,20,0,0,0,0,0,0,16
UCL422041,20,4,0,0,0,0,0,18
UCL422042,18,0,0,0,0,0,0,18
UCL422043,4,0,0,0,0,0,0,5
UCL422044,17,3,0,0,0,0,0,22
UCL422045,11,3,0,0,0,0,0,17
UCL422046,16,3,0,0,0,0,0,24
UCL422047,9,0,0,0,0,0,0,9
UCL422048,15,5,0,0,0,0,0,17
UCL422049,26,0,7,0,0,0,0,29
UCL422050,7,9,0,0,0,0,0,12
UCL422051,28,3,0,0,0,0,0,33
UCL422052,18,4,0,0,0,0,0,23
UCL422053,7,3,0,0,0,0,0,4
UCL422054,17,3,0,0,0,0,0,16
UCL422055,20,0,0,0,0,0,0,23
UCL422056,21,3,0,0,0,0,0,27
UCL422057,42,6,3,0,0,0,0,48
UCL422058,9,0,4,0,0,0,0,14
UCL422059,44,0,6,0,0,0,4,49
UCL422060,10,0,0,0,0,0,0,9
UCL422061,3,0,3,0,0,0,0,10
UCL422062,23,0,0,6,0,0,0,29
UCL422063,23,5,0,3,0,0,0,33
UCL431001,14650,1051,678,158,21,13,145,16722
UCL479997,0,0,0,0,0,0,0,0
UCL501001,207275,32266,8649,2003,399,123,1136,251858
UCL511001,6289,1377,433,79,29,7,52,8268
UCL512001,2287,443,137,23,7,5,31,2931
UCL512002,2052,517,140,22,7,0,19,2758
UCL512003,2343,548,163,42,4,9,27,3139
UCL512004,2584,477,183,34,6,0,28,3312
UCL513001,1114,199,56,19,10,0,24,1435
UCL513002,749,140,52,9,3,0,9,964
UCL513003,1759,271,102,15,3,0,6,2162
UCL513004,1296,236,118,24,11,3,8,1704
UCL513005,1005,285,99,11,3,0,7,1405
UCL514001,457,118,50,13,6,0,7,649
UCL514002,667,150,26,3,0,0,4,843
UCL514003,654,141,27,5,0,0,0,832
UCL514004,406,85,35,10,0,0,14,553
UCL515001,59,11,0,0,0,0,0,75
UCL515002,102,19,9,0,0,0,0,130
UCL515003,141,30,12,0,0,0,0,185
UCL515004,161,68,23,3,0,0,3,261
UCL515005,172,60,14,0,0,0,3,259
UCL515006,220,53,22,14,4,0,7,315
UCL515007,249,39,12,0,3,0,0,298
UCL515008,163,23,5,0,0,0,0,193
UCL515009,184,23,7,0,0,0,0,219
UCL515010,139,31,9,9,0,0,3,188
UCL515011,186,51,15,3,0,0,0,253
UCL515012,215,73,12,0,0,0,0,304
UCL515013,231,49,10,0,0,0,3,290
UCL515014,50,3,10,7,0,0,9,82
UCL515015,247,37,23,0,0,0,0,303
UCL515016,83,26,9,0,0,0,0,116
UCL515017,74,19,0,0,0,0,0,93
UCL515018,128,23,10,6,0,0,3,174
UCL515019,263,33,15,3,0,0,4,327
UCL515020,285,56,9,14,0,0,4,372
UCL515021,152,19,6,0,0,0,0,180
UCL515022,295,54,22,8,0,0,0,370
UCL515023,164,29,15,4,0,0,3,215
UCL515024,91,25,0,3,0,0,0,126
UCL515025,130,19,12,0,0,0,3,164
UCL515026,215,49,24,0,0,0,0,289
UCL515027,247,27,10,0,3,0,8,295
UCL515028,405,77,40,10,0,0,5,536
UCL515029,81,26,0,0,0,0,0,116
UCL515030,260,79,21,11,0,0,12,373
UCL515031,169,40,13,3,0,0,0,234
UCL515032,146,47,16,5,0,0,0,218
UCL515033,311,45,28,3,0,0,0,390
UCL515034,212,85,22,4,0,0,0,330
UCL515035,62,9,7,0,0,0,0,78
UCL515036,161,49,11,4,0,0,5,228
UCL515037,211,26,16,6,0,0,6,259
UCL515038,122,31,9,5,0,0,3,171
UCL521001,46,13,0,0,0,0,0,60
UCL521002,54,21,6,0,0,0,0,83
UCL521003,43,6,5,0,0,0,0,62
UCL521004,41,7,8,3,0,0,4,62
UCL521005,86,28,3,3,0,0,0,124
UCL521006,69,13,4,5,0,0,0,94
UCL521007,22,4,0,0,0,0,0,31
UCL521008,31,5,3,0,0,0,0,33
UCL521009,37,11,0,0,0,0,0,42
UCL521010,45,14,9,3,0,0,0,72
UCL521011,77,11,0,0,0,0,0,95
UCL521012,35,8,0,0,0,0,0,46
UCL521013,83,24,5,0,0,0,0,114
UCL521014,35,6,0,0,0,0,0,45
UCL521015,26,3,5,0,0,0,0,41
UCL521016,58,4,4,0,0,0,0,68
UCL521017,68,13,0,0,0,0,0,82
UCL521018,50,10,0,0,0,0,0,67
UCL521019,26,12,0,0,0,0,0,40
UCL521020,50,19,9,0,0,0,0,77
UCL521021,79,19,0,0,0,0,5,108
UCL521022,63,11,4,0,0,0,0,81
UCL521023,52,3,4,4,0,0,0,65
UCL521024,72,10,9,0,5,0,5,102
UCL521025,53,5,6,0,0,0,0,71
UCL521026,78,15,5,0,0,0,0,102
UCL521027,45,3,4,3,0,0,0,52
UCL521028,34,9,7,0,0,0,0,51
UCL521029,64,5,5,0,0,0,3,84
UCL521030,22,8,3,0,0,0,0,35
UCL521031,21,10,3,0,0,0,0,32
UCL521032,26,3,0,0,0,0,4,40
UCL521033,16,0,0,0,0,0,0,18
UCL521034,76,21,3,0,0,0,0,93
UCL521035,30,4,4,0,0,0,0,39
UCL521036,16,3,4,0,0,0,0,26
UCL521037,57,17,3,0,0,0,6,87
UCL521038,35,12,3,0,0,0,4,56
UCL521039,73,15,4,0,0,0,0,94
UCL521040,72,5,0,0,0,0,0,83
UCL521041,21,5,3,0,0,0,0,23
UCL521042,36,8,0,0,0,0,0,45
UCL521043,45,0,5,0,0,0,0,51
UCL521044,31,12,3,0,0,0,0,48
UCL521045,16,7,0,0,0,0,0,29
UCL521046,24,5,3,4,0,0,4,47
UCL521047,29,3,3,0,0,0,0,35
UCL521048,33,10,6,0,0,0,0,52
UCL521049,37,0,0,4,0,3,5,46
UCL521050,48,3,4,0,0,0,0,54
UCL521051,62,13,10,0,0,0,5,88
UCL521052,36,7,8,3,0,0,0,59
UCL522001,37,8,5,10,0,0,0,56
UCL522002,8,5,3,0,0,0,0,19
UCL522003,26,4,0,0,0,0,4,34
UCL522004,26,0,0,0,0,0,0,30
UCL522005,24,0,4,0,0,0,0,35
UCL522006,58,4,3,0,0,0,0,67
UCL522007,0,0,4,0,0,0,0,6
UCL522008,9,0,0,0,0,0,0,14
UCL522009,27,6,6,0,0,0,0,39
UCL522010,44,4,0,0,0,0,0,47
UCL522011,19,0,0,0,0,0,0,20
UCL522012,30,8,0,0,0,0,0,38
UCL522013,43,7,0,0,0,0,4,55
UCL522014,17,7,4,0,0,0,0,32
UCL522015,8,0,0,0,0,0,0,7
UCL522016,16,0,4,0,0,0,0,14
UCL522017,25,5,4,0,0,0,0,30
UCL522018,3,0,0,0,0,0,0,3
UCL522019,8,0,0,0,0,0,0,7
UCL522020,17,6,0,0,0,0,0,26
UCL522021,20,0,3,0,0,0,0,25
UCL522022,11,5,4,0,0,0,0,16
UCL522023,23,7,4,0,0,0,0,27
UCL522024,11,0,0,0,0,0,0,11
UCL522025,25,3,4,0,0,0,0,31
UCL522026,8,0,0,0,0,0,0,14
UCL522027,24,0,4,0,0,0,0,26
UCL522028,0,5,0,0,0,0,0,3
UCL522029,40,8,0,0,0,0,0,46
UCL522030,18,0,0,0,0,0,0,26
UCL522031,15,0,0,0,0,0,0,24
UCL522032,31,3,0,4,0,0,0,39
UCL522033,22,0,3,0,0,0,0,28
UCL522034,11,3,0,0,0,0,0,21
UCL522035,8,0,0,0,0,0,0,12
UCL522036,10,0,0,0,0,0,0,17
UCL522037,22,4,3,0,0,0,0,26
UCL522038,48,0,0,0,0,0,0,57
UCL522039,8,0,0,0,0,0,6,17
UCL522040,8,0,0,0,0,0,0,8
UCL522041,17,0,0,0,0,0,0,23
UCL522042,29,4,3,0,0,0,0,40
UCL522043,24,5,0,6,0,0,0,41
UCL522044,0,0,0,3,0,0,0,8
UCL522045,19,3,0,0,0,0,0,28
UCL522046,14,3,0,0,0,0,0,20
UCL522047,22,5,0,0,0,0,0,30
UCL522048,19,0,0,0,0,0,0,23
UCL522049,8,0,0,0,0,0,0,15
UCL522050,32,0,0,0,0,0,0,35
UCL522051,19,5,0,0,0,0,0,28
UCL522052,9,0,0,0,0,0,0,7
UCL522053,13,0,0,4,0,0,5,11
UCL522054,14,0,0,0,0,0,0,12
UCL522055,22,3,0,0,0,0,0,22
UCL522056,19,10,5,0,0,0,0,31
UCL522057,5,0,0,0,0,0,0,3
UCL522058,14,3,3,0,0,0,0,18
UCL522059,19,7,0,0,0,0,0,22
UCL522060,6,0,0,0,0,0,0,6
UCL522061,6,0,0,0,0,0,0,14
UCL522062,19,0,0,0,3,0,0,29
UCL522063,14,0,0,0,0,0,0,14
UCL522064,31,0,0,6,0,0,4,38
UCL522065,7,3,0,0,0,0,0,12
UCL522066,33,0,5,0,0,0,0,40
UCL522067,3,0,0,0,0,0,0,4
UCL522068,37,9,0,0,0,0,0,53
UCL522069,10,0,0,0,0,0,0,14
UCL522070,14,7,6,0,0,0,0,34
UCL522071,39,0,0,6,0,0,5,52
UCL531001,13452,2321,636,208,42,9,168,16840
UCL579997,0,0,0,0,0,0,0,0
UCL603001,16829,1705,973,169,29,9,128,19832
UCL611001,6610,670,437,57,9,6,51,7838
UCL612001,1494,202,133,15,0,0,17,1867
UCL612002,1707,292,156,15,5,3,21,2199
UCL613001,943,116,64,8,0,0,13,1151
UCL614001,441,75,33,4,5,0,5,559
UCL614002,426,61,43,4,4,0,6,549
UCL614003,354,36,32,3,0,0,8,433
UCL615001,61,17,10,0,0,0,0,89
UCL615002,67,10,0,0,0,0,0,74
UCL615003,77,4,3,0,0,0,0,86
UCL615004,71,8,8,3,0,0,0,84
UCL615005,187,22,9,0,0,0,0,221
UCL615006,91,10,0,0,0,0,0,98
UCL615007,88,8,5,0,0,0,0,99
UCL615008,271,29,45,8,0,0,3,351
UCL615009,244,31,18,6,0,0,0,292
UCL615010,143,22,14,4,4,0,3,191
UCL615011,336,43,48,7,0,4,3,431
UCL615012,459,43,26,0,0,0,0,529
UCL615013,265,38,23,0,0,0,5,330
UCL615014,306,29,22,0,0,0,0,356
UCL615015,280,50,26,0,0,0,4,362
UCL615016,252,43,17,0,0,0,0,316
UCL615017,305,35,22,0,0,0,4,371
UCL615018,246,35,13,0,0,0,0,292
UCL615019,46,14,4,0,0,0,0,62
UCL615020,105,12,11,0,0,0,0,131
UCL615021,146,11,12,0,0,0,3,169
UCL615022,74,14,0,0,0,0,0,86
UCL615023,224,29,20,0,0,0,0,280
UCL615024,204,13,23,3,0,0,0,238
UCL615025,253,30,23,3,0,0,4,314
UCL615026,67,15,3,0,0,0,0,87
UCL615027,122,8,7,0,0,0,0,144
UCL621001,48,0,8,0,0,0,0,68
UCL621002,53,4,0,0,0,0,0,60
UCL621003,49,10,10,0,0,0,3,71
UCL621004,46,5,0,0,0,0,0,54
UCL621005,53,7,5,0,0,0,0,60
UCL621006,88,8,3,0,0,0,0,99
UCL621007,67,9,0,0,0,0,0,81
UCL621008,61,5,0,0,0,0,0,67
UCL621009,43,6,4,0,0,0,0,47
UCL621010,26,8,0,0,0,0,0,33
UCL621011,57,4,9,0,0,0,0,75
UCL621012,84,3,4,3,0,0,0,92
UCL621013,47,5,8,0,0,0,4,61
UCL621014,60,7,3,0,0,0,0,68
UCL621015,120,8,3,0,0,0,0,128
UCL621016,102,5,0,0,0,0,0,111
UCL621017,21,0,3,0,0,0,0,24
UCL621018,36,3,3,0,0,0,0,38
UCL621019,29,0,0,0,0,0,0,38
UCL621020,54,11,9,0,0,0,0,79
UCL621021,119,3,11,3,0,0,0,137
UCL621022,75,10,9,0,0,0,0,93
UCL621023,34,8,3,0,0,0,0,46
UCL621024,44,4,7,0,0,0,0,52
UCL621025,63,5,6,0,0,0,0,68
UCL621026,37,3,5,0,0,0,0,45
UCL621027,46,6,0,0,0,0,0,50
UCL621028,40,8,3,0,0,0,0,50
UCL621029,74,5,3,0,0,0,0,81
UCL621030,28,4,0,0,0,0,0,29
UCL621031,48,3,6,0,0,0,0,54
UCL621032,46,5,5,0,0,0,0,54
UCL622001,16,0,0,0,0,0,0,16
UCL622002,33,3,0,0,0,0,0,33
UCL622003,39,0,0,0,0,0,0,43
UCL622004,19,6,0,0,0,0,0,31
UCL622005,34,5,0,0,0,0,0,43
UCL622006,24,6,0,0,0,0,0,27
UCL622007,25,7,0,0,0,0,0,30
UCL622008,24,4,0,0,0,0,0,31
UCL622009,47,0,0,0,0,0,0,45
UCL622010,22,3,0,0,0,0,0,33
UCL622011,29,6,0,0,0,0,0,31
UCL622012,19,5,0,0,0,0,0,28
UCL622013,46,4,0,0,0,0,0,54
UCL622014,32,8,5,0,0,0,0,45
UCL622015,38,0,0,0,0,0,0,40
UCL622016,30,0,0,0,0,0,0,32
UCL622017,10,5,0,0,0,0,0,15
UCL622018,14,3,3,0,0,0,0,25
UCL622019,25,3,0,0,0,0,0,30
UCL622020,50,5,3,0,0,0,0,58
UCL622021,11,3,0,0,0,0,0,14
UCL622022,36,4,3,0,0,0,0,46
UCL622023,34,4,0,0,0,0,0,38
UCL622024,28,0,0,0,0,0,0,30
UCL622025,11,0,4,0,0,0,0,18
UCL622026,16,3,0,0,0,0,0,17
UCL622027,10,3,0,0,0,0,0,9
UCL631001,10159,924,630,94,17,6,93,11923
UCL679997,0,0,0,0,0,0,0,0
UCL703001,10700,1854,564,219,33,11,85,13475
UCL712001,2028,315,120,57,12,9,34,2579
UCL714001,349,82,43,23,9,0,19,524
UCL715001,196,8,7,27,0,5,0,242
UCL715002,98,6,3,12,3,4,6,132
UCL715003,236,7,19,28,6,4,8,310
UCL715004,77,5,3,12,5,5,0,101
UCL715005,80,5,0,21,5,4,3,118
UCL715006,320,47,22,0,0,0,4,394
UCL715007,172,27,14,12,8,4,3,243
UCL715008,155,14,6,17,8,0,4,207
UCL715009,110,10,3,11,0,0,0,130
UCL721001,84,9,5,0,0,0,0,102
UCL721002,87,5,4,13,0,3,3,116
UCL721003,38,3,4,16,3,0,3,69
UCL721004,56,10,0,3,0,0,0,64
UCL721005,44,5,7,11,0,0,0,69
UCL721006,43,4,0,7,5,0,5,59
UCL721007,66,12,3,0,0,0,0,83
UCL721008,61,9,0,0,0,0,5,70
UCL721009,52,8,0,0,0,0,0,59
UCL721010,54,0,6,6,0,4,0,73
UCL721011,51,5,3,6,3,0,3,68
UCL721012,61,6,0,5,0,0,0,77
UCL721013,63,0,5,13,3,0,0,87
UCL721014,41,0,5,9,0,0,3,63
UCL721015,42,0,5,9,5,0,0,61
UCL721016,56,0,0,3,0,0,0,66
UCL721017,40,4,5,7,0,0,3,64
UCL721018,19,5,0,0,0,0,0,24
UCL722001,5,6,0,0,0,0,0,14
UCL722002,29,0,0,3,0,0,0,36
UCL722003,39,0,3,0,0,3,3,53
UCL722004,4,0,3,4,0,0,0,14
UCL722005,37,0,0,0,0,0,5,49
UCL722006,19,3,0,3,0,0,0,20
UCL722007,20,4,0,0,5,0,0,26
UCL722008,17,0,0,3,0,0,0,24
UCL722009,26,0,0,5,0,0,0,30
UCL722010,8,5,0,0,0,0,0,12
UCL722011,13,0,0,0,0,0,0,21
UCL722012,22,5,0,4,0,0,0,32
UCL722013,13,0,0,4,0,3,0,18
UCL722014,17,4,3,3,0,0,4,22
UCL722015,13,3,3,4,0,0,0,25
UCL722016,35,13,0,0,0,0,0,48
UCL722017,19,0,0,3,0,0,0,29
UCL722018,15,4,0,0,0,0,0,21
UCL722019,9,8,0,0,0,0,0,14
UCL722020,14,0,0,3,0,0,0,16
UCL722021,35,0,0,0,0,0,0,43
UCL722022,16,0,5,3,0,0,0,23
UCL722023,23,0,0,3,4,0,0,31
UCL722024,22,6,0,0,0,0,0,29
UCL722025,44,4,0,8,0,0,0,59
UCL722026,16,0,0,3,0,0,7,25
UCL722027,26,0,0,7,0,0,0,38
UCL722028,15,3,0,5,0,0,4,22
UCL722029,28,4,0,0,0,0,0,34
UCL722030,16,0,0,3,0,0,0,19
UCL722031,16,5,0,0,0,0,0,22
UCL722032,19,0,0,0,0,0,0,22
UCL722033,32,5,0,3,0,0,0,43
UCL722034,23,8,0,0,0,0,0,29
UCL722035,25,5,6,6,4,0,0,43
UCL722036,34,4,0,4,0,0,0,48
UCL722037,13,3,0,3,0,0,3,26
UCL722038,20,0,0,0,0,0,0,21
UCL722039,24,0,0,5,0,0,0,29
UCL722040,14,0,0,0,0,0,3,14
UCL731001,2669,427,158,137,21,20,54,3477
UCL779997,0,0,0,0,0,0,0,0
UCL802001,48471,3365,1639,403,41,22,191,54131
UCL822001,35,5,0,0,0,0,0,43
UCL822002,50,0,0,0,0,0,0,51
UCL831001,42,5,4,0,0,0,0,45
UCL879997,0,0,0,0,0,0,0,0
UCL915001,133,11,4,0,0,0,0,149
UCL921001,101,17,8,3,0,0,0,127
UCL922001,58,4,0,0,0,0,0,58
UCL922002,9,3,0,0,0,0,0,12
UCL922003,14,6,0,0,0,0,0,12
UCL931001,46,0,5,0,0,0,0,54
UCL979997,0,0,0,0,0,0,0,0
